Entity,Code,Year,Deaths - Cardiovascular diseases - Sex: Both - Age: 15-49 years (Rate)
Denmark,DNK,1990,22.84
Denmark,DNK,1995,19.38
Denmark,DNK,2000,15.88
Denmark,DNK,2005,13.3
Denmark,DNK,2010,10.23
Denmark,DNK,2015,7.44
Denmark,DNK,2019,7.32
Gambia,GMB,1990,23.05
Gambia,GMB,1995,23.84
Gambia,GMB,2000,22.8
Gambia,GMB,2005,26.32
Gambia,GMB,2010,24.28
Gambia,GMB,2015,23.02
Gambia,GMB,2019,24.63
India,IND,1990,46.87
India,IND,1995,44.59
India,IND,2000,46.51
India,IND,2005,41.73
India,IND,2010,44.91
India,IND,2015,38.92
India,IND,2019,39.05
Panama,PAN,1990,18.38
Panama,PAN,1995,17.36
Panama,PAN,2000,13.07
Panama,PAN,2005,14.64
Panama,PAN,2010,15.26
Panama,PAN,2015,14.54
Panama,PAN,2019,13.64
Sudan,SDN,1990,70.96
Sudan,SDN,1995,65.43
Sudan,SDN,2000,59.02
Sudan,SDN,2005,53.74
Sudan,SDN,2010,49.9
Sudan,SDN,2015,46.13
Sudan,SDN,2019,42.72
Turkmenistan,TKM,1990,53.2
Turkmenistan,TKM,1995,74.83
Turkmenistan,TKM,2000,87.11
Turkmenistan,TKM,2005,100.54
Turkmenistan,TKM,2010,70.21
Turkmenistan,TKM,2015,71.71
Turkmenistan,TKM,2019,71.32
United Arab Emirates,ARE,1990,39.04
United Arab Emirates,ARE,1995,38.68
United Arab Emirates,ARE,2000,32.71
United Arab Emirates,ARE,2005,27.17
United Arab Emirates,ARE,2010,24.03
United Arab Emirates,ARE,2015,36.96
United Arab Emirates,ARE,2019,46.98
