Entity,Code,Year,Sweet potatoes | 00000122 || Production | 005510 || tonnes
Brazil,BRA,1961,1355738.0
Brazil,BRA,1970,2133983.0
Brazil,BRA,1980,726457.0
Brazil,BRA,1990,636691.0
Brazil,BRA,2000,484443.0
Brazil,BRA,2010,495182.0
Brazil,BRA,2021,824680.0
China,CHN,1961,74020000.0
China,CHN,1970,111900000.0
China,CHN,1980,117790000.0
China,CHN,1990,104700000.0
China,CHN,2000,117985000.0
China,CHN,2010,65604500.0
China,CHN,2021,47621148.0
India,IND,1961,1261000.0
India,IND,1970,1621000.0
India,IND,1980,1313100.0
India,IND,1990,1251500.0
India,IND,2000,1110600.0
India,IND,2010,1094700.0
India,IND,2021,1121000.0
United States,USA,1961,654483.0
United States,USA,1970,597482.0
United States,USA,1980,496820.0
United States,USA,1990,571250.0
United States,USA,2000,625050.0
United States,USA,2010,1081592.0
United States,USA,2021,1308728.0
