Entity,Code,Year,Solar and wind (% equivalent primary energy)
Australia,AUS,1965,0.0
Australia,AUS,1970,0.0
Australia,AUS,1980,0.0
Australia,AUS,1990,0.0
Australia,AUS,2000,0.04094786
Australia,AUS,2010,1.096857
Australia,AUS,2022,11.063508
China,CHN,1965,0.0
China,CHN,1970,0.0
China,CHN,1980,0.0
China,CHN,1990,0.00014975209
China,CHN,2000,0.015333352
China,CHN,2010,0.47859335
China,CHN,2022,7.0095963
Denmark,DNK,1990,0.8935637
Denmark,DNK,2000,5.303891
Denmark,DNK,2010,9.516958
Denmark,DNK,2022,28.826315
India,IND,1965,0.0
India,IND,1970,0.0
India,IND,1980,0.0
India,IND,1990,0.0038947186
India,IND,2000,0.12602514
India,IND,2010,0.8697626
India,IND,2022,4.254552
Sweden,SWE,1990,0.0026002696
Sweden,SWE,2000,0.21178496
Sweden,SWE,2010,1.5554435
Sweden,SWE,2022,14.5381565
United States,USA,1965,0.0
United States,USA,1970,0.0
United States,USA,1980,0.0
United States,USA,1990,0.04169394
United States,USA,2000,0.068710566
United States,USA,2010,1.0547657
United States,USA,2022,6.3155727
