Entity,Code,Year,Annual number of AI systems by researcher affiliation
Academia,,1950,0
Academia,,1956,1
Academia,,1959,1
Academia,,1962,1
Academia,,1968,2
Academia,,1974,0
Academia,,1977,1
Academia,,1980,0
Academia,,1983,1
Academia,,1986,4
Academia,,1989,4
Academia,,1992,2
Academia,,1995,1
Academia,,1998,0
Academia,,2001,2
Academia,,2004,1
Academia,,2007,6
Academia,,2010,12
Academia,,2013,14
Academia,,2016,21
Academia,,2019,15
Academia,,2023,18
Academia and industry collaboration,,1950,0
Academia and industry collaboration,,1956,0
Academia and industry collaboration,,1959,0
Academia and industry collaboration,,1962,0
Academia and industry collaboration,,1968,0
Academia and industry collaboration,,1974,0
Academia and industry collaboration,,1977,0
Academia and industry collaboration,,1980,0
Academia and industry collaboration,,1983,0
Academia and industry collaboration,,1986,0
Academia and industry collaboration,,1989,1
Academia and industry collaboration,,1992,0
Academia and industry collaboration,,1995,0
Academia and industry collaboration,,1998,1
Academia and industry collaboration,,2001,0
Academia and industry collaboration,,2004,0
Academia and industry collaboration,,2007,0
Academia and industry collaboration,,2010,1
Academia and industry collaboration,,2013,2
Academia and industry collaboration,,2016,7
Academia and industry collaboration,,2019,19
Academia and industry collaboration,,2023,22
Industry,,1950,1
Industry,,1956,0
Industry,,1959,2
Industry,,1962,0
Industry,,1968,0
Industry,,1974,1
Industry,,1977,0
Industry,,1980,1
Industry,,1983,0
Industry,,1986,0
Industry,,1989,1
Industry,,1992,1
Industry,,1995,2
Industry,,1998,1
Industry,,2001,1
Industry,,2004,0
Industry,,2007,1
Industry,,2010,2
Industry,,2013,4
Industry,,2016,21
Industry,,2019,35
Industry,,2023,60
Other,,1950,0
Other,,1956,0
Other,,1959,0
Other,,1962,0
Other,,1968,0
Other,,1974,0
Other,,1977,0
Other,,1980,0
Other,,1983,0
Other,,1986,0
Other,,1989,0
Other,,1992,0
Other,,1995,0
Other,,1998,0
Other,,2001,0
Other,,2004,0
Other,,2007,0
Other,,2010,0
Other,,2013,0
Other,,2016,1
Other,,2019,2
Other,,2023,3
