Entity,Code,Year,"Number of new cases of meningitis per 100,000 people, in both sexes aged all ages"
Cuba,CUB,1990,29.382917
Cuba,CUB,1995,24.838663
Cuba,CUB,2000,15.857563
Cuba,CUB,2005,13.302074
Cuba,CUB,2010,12.399859
Cuba,CUB,2015,11.997184
Cuba,CUB,2019,12.817317
Iran,IRN,1990,40.34141
Iran,IRN,1995,30.899046
Iran,IRN,2000,25.332504
Iran,IRN,2005,22.438047
Iran,IRN,2010,21.19798
Iran,IRN,2015,20.364374
Iran,IRN,2019,23.534594
United Arab Emirates,ARE,1990,29.172798
United Arab Emirates,ARE,1995,24.426075
United Arab Emirates,ARE,2000,18.313618
United Arab Emirates,ARE,2005,16.068613
United Arab Emirates,ARE,2010,12.497427
United Arab Emirates,ARE,2015,12.913402
United Arab Emirates,ARE,2019,13.357973
Uruguay,URY,1990,20.87587
Uruguay,URY,1995,15.93942
Uruguay,URY,2000,12.523191
Uruguay,URY,2005,10.27157
Uruguay,URY,2010,8.216197
Uruguay,URY,2015,7.814997
Uruguay,URY,2019,8.310255
