Entity,Code,Year,Adequacy of social safety net programs (% of total welfare of beneficiary households)
Belarus,BLR,2008,6.8257623
Belarus,BLR,2010,7.1607814
Belarus,BLR,2012,8.146751
Belarus,BLR,2014,12.756442
Belarus,BLR,2016,42.155537
Belarus,BLR,2018,13.539096
Belarus,BLR,2019,13.997836
Dominican Republic,DOM,2008,4.9392686
Dominican Republic,DOM,2010,4.811735
Dominican Republic,DOM,2012,5.2471232
Dominican Republic,DOM,2014,5.2543364
Dominican Republic,DOM,2016,5.0638123
Dominican Republic,DOM,2018,4.339313
Dominican Republic,DOM,2019,4.129799
Kyrgyzstan,KGZ,2006,9.206789
Kyrgyzstan,KGZ,2012,10.000693
