Entity,Code,Year,egaldem_vdem_owid,Population (historical estimates),region
Africa,,2021,0.2700893,1393676724.0,World
Asia,,2021,0.2557143,4693332132.0,World
Bangladesh,BGD,2021,0.099,169356240.0,Asia
Brazil,BRA,2021,0.318,214326224.0,South America
Denmark,DNK,2021,0.878,5854246.0,Europe
Europe,,2021,0.6286098,746417727.0,World
India,IND,2021,0.258,1407563904.0,Asia
Indonesia,IDN,2021,0.306,273753184.0,Asia
Iran,IRN,2021,0.166,87923432.0,Asia
Japan,JPN,2021,0.762,124612528.0,Asia
Nigeria,NGA,2021,0.266,213401328.0,Africa
North America,,2021,0.41633335,597123384.0,World
Oceania,,2021,0.49333334,44492065.0,World
Pakistan,PAK,2021,0.182,231402112.0,Asia
Palestine,PSE,2021,,5133393.0,
Russia,RUS,2021,0.19,145102752.0,Europe
South America,,2021,0.43358332,434254167.0,World
South Sudan,SSD,2021,0.026,10748278.0,Africa
Tanzania,TZA,2021,0.332,63588332.0,Africa
United States,USA,2021,0.581,336997632.0,North America
World,OWID_WRL,2021,0.37897205,7909295104.0,World
