Entity,Code,Year,Number of ongoing conflicts - Conflict type: one-sided violence,Number of ongoing conflicts - Conflict type: extrasystemic,Number of ongoing conflicts - Conflict type: non-state conflict,Number of ongoing conflicts - Conflict type: intrastate,Number of ongoing conflicts - Conflict type: interstate
Americas,,1989,5,0,0,8,1
Americas,,1991,6,0,2,5,0
Americas,,1993,6,0,2,3,0
Americas,,1995,4,0,2,3,1
Americas,,1997,3,0,3,2,0
Americas,,1999,3,0,2,2,0
Americas,,2001,6,0,5,2,0
Americas,,2003,5,0,4,1,0
Americas,,2005,5,0,3,1,0
Americas,,2007,0,0,3,2,0
Americas,,2009,2,0,4,2,0
Americas,,2011,1,0,9,1,0
Americas,,2013,0,0,7,1,0
Americas,,2015,2,0,14,1,0
Americas,,2017,3,0,11,0,0
Americas,,2019,1,0,20,1,0
Americas,,2022,9,0,34,1,0
