Entity,Code,Year,Infant mortality rate - Sex: all - Age: 0 - Variant: estimates
Cambodia,KHM,1950,17.24744
Cambodia,KHM,1960,14.94557
Cambodia,KHM,1970,12.62632
Cambodia,KHM,1980,11.57773
Cambodia,KHM,1990,8.62314
Cambodia,KHM,2000,7.9902396
Cambodia,KHM,2010,3.57276
Cambodia,KHM,2021,2.08461
French Guiana,GUF,1950,10.86459
French Guiana,GUF,1960,8.1345005
French Guiana,GUF,1970,4.67807
French Guiana,GUF,1980,3.74451
French Guiana,GUF,1990,2.2804701
French Guiana,GUF,2000,1.50823
French Guiana,GUF,2010,0.96512
French Guiana,GUF,2021,0.81284
Greenland,GRL,1950,11.7365
Greenland,GRL,1960,7.25294
Greenland,GRL,1970,4.77631
Greenland,GRL,1980,3.2049499
Greenland,GRL,1990,3.0683901
Greenland,GRL,2000,1.46814
Greenland,GRL,2010,0.9297401
Greenland,GRL,2021,0.88934004
