Entity,Code,Year,Number of new reported cases of human African trypanosomiasis (T.b. gambiense)
Angola,AGO,1990,1498
Angola,AGO,1995,2441
Angola,AGO,2000,4546
Angola,AGO,2005,1727
Angola,AGO,2010,211
Angola,AGO,2015,35
Angola,AGO,2020,33
Angola,AGO,2022,44
Congo,COG,1990,580
Congo,COG,1995,475
Congo,COG,2000,111
Congo,COG,2005,398
Congo,COG,2010,87
Congo,COG,2015,36
Congo,COG,2020,15
Congo,COG,2022,10
Democratic Republic of Congo,COD,1990,7515
Democratic Republic of Congo,COD,1995,18182
Democratic Republic of Congo,COD,2000,16951
Democratic Republic of Congo,COD,2005,10249
Democratic Republic of Congo,COD,2010,5624
Democratic Republic of Congo,COD,2015,2347
Democratic Republic of Congo,COD,2020,395
Democratic Republic of Congo,COD,2022,516
