Entity,Code,Year,Unemployment rate - Percent of total labor force - Observations,Unemployment rate - Percent of total labor force - Forecasts
Australia,AUS,1980,6.133,
Australia,AUS,1990,6.947,
Australia,AUS,2000,6.278,
Australia,AUS,2010,5.209,
Australia,AUS,2020,6.501,
Australia,AUS,2028,,4.898
Bosnia and Herzegovina,BIH,2000,31.1,
Bosnia and Herzegovina,BIH,2010,27.2,
Bosnia and Herzegovina,BIH,2020,15.9,
Bosnia and Herzegovina,BIH,2028,,15.255
Italy,ITA,1980,7.37,
Italy,ITA,1990,8.858,
Italy,ITA,2000,10.1,
Italy,ITA,2010,8.5,
Italy,ITA,2020,9.342,
Italy,ITA,2028,,8.25
Jamaica,JAM,1980,27.262,
Jamaica,JAM,1990,15.7,
Jamaica,JAM,2000,15.5,
Jamaica,JAM,2010,12.375,
Jamaica,JAM,2020,10.2,
Panama,PAN,1980,8.375,
Panama,PAN,1990,16.719,
Panama,PAN,2000,13.526,
Panama,PAN,2010,6.516,
Panama,PAN,2020,18.548,
Panama,PAN,2028,,8.0
Russia,RUS,2000,10.558,
Russia,RUS,2010,7.358,
Russia,RUS,2020,5.783,
Russia,RUS,2028,,4.505
Sri Lanka,LKA,1990,15.897,
Sri Lanka,LKA,2000,7.573,
Sri Lanka,LKA,2010,5.0,
Sri Lanka,LKA,2020,5.5,
