Entity,Code,Year,"Police Officers per 1,000 people"
Greece,GRC,1973,5.367972
Greece,GRC,1975,4.8157125
Greece,GRC,1980,4.6914682
Greece,GRC,1990,4.743661
Greece,GRC,1995,4.611304
Greece,GRC,2005,4.7538753
Greece,GRC,2010,5.8103013
Greece,GRC,2015,5.7365417
Luxembourg,LUX,2010,4.2646027
Madagascar,MDG,1990,1.2977711
Madagascar,MDG,2015,1.3413191
Malaysia,MYS,1973,4.045176
Malaysia,MYS,1990,5.2659154
Malaysia,MYS,1995,5.0136304
Malaysia,MYS,2000,4.517522
Nepal,NPL,1975,2.0877151
Nepal,NPL,1980,2.306929
Nepal,NPL,2005,3.1979983
