Entity,Code,Year,Low-carbon electricity - % electricity
China,CHN,1985,22.495691
China,CHN,1990,20.414036
China,CHN,1995,20.560476
China,CHN,2000,17.874004
China,CHN,2005,18.296497
China,CHN,2010,20.467964
China,CHN,2015,26.915787
China,CHN,2020,32.79492
China,CHN,2022,34.897434
France,FRA,1990,88.65292
France,FRA,1995,92.15799
France,FRA,2000,90.51537
France,FRA,2005,88.88324
France,FRA,2010,89.76067
France,FRA,2015,92.22017
France,FRA,2020,90.869606
France,FRA,2022,87.83011
Germany,DEU,1990,31.375956
Germany,DEU,1995,33.599216
Germany,DEU,2000,36.041546
Germany,DEU,2005,37.04825
Germany,DEU,2010,39.461727
Germany,DEU,2015,43.93192
Germany,DEU,2020,55.818268
Germany,DEU,2022,49.8778
India,IND,1985,30.217337
India,IND,1990,25.319405
India,IND,1995,19.804989
India,IND,2000,16.808134
India,IND,2005,17.770964
India,IND,2010,17.674166
India,IND,2015,18.267908
India,IND,2020,22.774569
India,IND,2022,22.985178
Sweden,SWE,1985,95.783134
Sweden,SWE,1990,97.70517
Sweden,SWE,1995,94.739685
Sweden,SWE,2000,96.71556
Sweden,SWE,2005,96.994194
Sweden,SWE,2010,94.25396
Sweden,SWE,2015,98.055565
Sweden,SWE,2020,98.5102
Sweden,SWE,2022,98.228905
United Kingdom,GBR,1985,21.822412
United Kingdom,GBR,1990,22.523287
United Kingdom,GBR,1995,28.822786
United Kingdom,GBR,2000,25.186974
United Kingdom,GBR,2005,24.73955
United Kingdom,GBR,2010,23.116789
United Kingdom,GBR,2015,45.35663
United Kingdom,GBR,2020,59.220566
United Kingdom,GBR,2022,56.018276
United States,USA,1985,27.378084
United States,USA,1990,29.700468
United States,USA,1995,30.472076
United States,USA,2000,29.05815
United States,USA,2005,28.129686
United States,USA,2010,29.93359
United States,USA,2015,33.14577
United States,USA,2020,39.8518
United States,USA,2022,40.348175
World,OWID_WRL,1985,35.878166
World,OWID_WRL,1990,35.78884
World,OWID_WRL,1995,37.07818
World,OWID_WRL,2000,35.602276
World,OWID_WRL,2005,33.326565
World,OWID_WRL,2010,32.681507
World,OWID_WRL,2015,33.72006
World,OWID_WRL,2020,38.20946
World,OWID_WRL,2022,38.732136
