Entity,Code,Year,Observation value - Unit_of_measure: Number of deaths - Indicator: Infant deaths - Sex: Both sexes - Wealth_quintile: All wealth quintiles
Bolivia,BOL,1970,26978
Bolivia,BOL,1980,24506
Bolivia,BOL,1990,20975
Bolivia,BOL,2000,14167
Bolivia,BOL,2010,8676
Bolivia,BOL,2021,5301
Croatia,HRV,1990,637
Croatia,HRV,2000,330
Croatia,HRV,2010,212
Croatia,HRV,2021,138
Equatorial Guinea,GNQ,1990,2495
Equatorial Guinea,GNQ,2000,2899
Equatorial Guinea,GNQ,2010,3215
Equatorial Guinea,GNQ,2021,2818
United Kingdom,GBR,1951,24364
United Kingdom,GBR,1960,20600
United Kingdom,GBR,1970,16431
United Kingdom,GBR,1980,8940
United Kingdom,GBR,1990,6188
United Kingdom,GBR,2000,3814
United Kingdom,GBR,2010,3513
United Kingdom,GBR,2021,2473
