Entity,Code,Year,Number of new wars - Conflict type: civil war,Number of new wars - Conflict type: others (non-civil)
World,OWID_WRL,1800,0,1
World,OWID_WRL,1808,0,0
World,OWID_WRL,1816,0,1
World,OWID_WRL,1824,0,1
World,OWID_WRL,1832,1,0
World,OWID_WRL,1840,0,0
World,OWID_WRL,1848,1,2
World,OWID_WRL,1856,0,3
World,OWID_WRL,1864,0,5
World,OWID_WRL,1872,0,0
World,OWID_WRL,1880,0,0
World,OWID_WRL,1888,0,0
World,OWID_WRL,1896,0,1
World,OWID_WRL,1904,0,2
World,OWID_WRL,1912,0,2
World,OWID_WRL,1920,1,3
World,OWID_WRL,1928,0,0
World,OWID_WRL,1936,1,0
World,OWID_WRL,1944,0,1
World,OWID_WRL,1952,0,0
World,OWID_WRL,1960,0,0
World,OWID_WRL,1968,0,0
World,OWID_WRL,1976,0,0
World,OWID_WRL,1984,0,0
World,OWID_WRL,1992,2,1
World,OWID_WRL,2000,0,0
World,OWID_WRL,2011,1,0
