Entity,Code,Year,"Share of the urban population using at least basic sanitation services, improved sanitation facilities which are not shared","Share of the rural population using at least basic sanitation services, improved sanitation facilities which are not shared",Population (historical estimates),Continent
Afghanistan,AFG,2022,70.39219,50.714535,,
Algeria,DZA,2022,87.89924,79.68238,,
Angola,AGO,2022,65.314545,24.1564,,
Bangladesh,BGD,2022,55.398193,61.862057,,
Benin,BEN,2022,29.54069,9.6318655,,
Bolivia,BOL,2022,77.40303,47.26773,,
Botswana,BWA,2022,91.36788,52.423958,,
Burkina Faso,BFA,2022,42.156868,16.614285,,
Burundi,BDI,2022,41.245304,46.439537,,
Chad,TCD,2022,39.459167,4.512961,,
China,CHN,2022,97.61812,92.88224,,
Democratic Republic of Congo,COD,2022,21.798027,11.220079,,
Ecuador,ECU,2022,93.16217,90.65111,,
Eswatini,SWZ,2022,51.59207,68.600136,,
Ethiopia,ETH,2022,22.268822,5.54685,,
Ghana,GHA,2022,33.66934,21.381187,,
India,IND,2022,84.70372,74.85598,,
Indonesia,IDN,2022,91.487816,83.569466,,
Ireland,IRL,2022,86.83692,93.58777,,
Italy,ITA,2022,99.87932,99.8995,,
Jamaica,JAM,2022,83.23231,90.95534,,
Kenya,KEN,2022,39.83611,35.17768,,
Liberia,LBR,2022,34.296535,9.212585,,
Low-income countries,,2022,49.59335,27.912539,,
Lower-middle-income countries,,2022,78.540565,68.04981,,
Malawi,MWI,2022,48.03632,49.505436,,
Mali,MLI,2022,60.157482,41.92364,,
Mauritania,MRT,2022,79.328,25.011065,,
Mongolia,MNG,2022,75.819725,56.975693,,
Mozambique,MOZ,2022,61.333107,22.581858,,
Niger,NER,2022,52.823658,9.007325,,
Nigeria,NGA,2022,57.575703,33.898285,,
Oceania (SDG),,2022,69.03534,22.949158,,
Peru,PER,2022,83.382996,60.259098,,
Rwanda,RWA,2022,53.572647,78.18865,,
Somalia,SOM,2022,56.95531,25.860493,,
Tanzania,TZA,2022,46.769455,21.260902,,
Uganda,UGA,2022,29.925764,17.854376,,
Upper-middle-income countries,,2022,95.59092,88.855736,,
World,OWID_WRL,2022,88.88821,70.13416,,
Yemen,YEM,2022,78.44523,39.63633,,
