Entity,Code,Year,Share of people who are happy (Eurobarometer 2017)
Austria,AUT,1996,93.234474
Austria,AUT,2000,80.772339
Austria,AUT,2005,85.311844
Austria,AUT,2010,84.907295
Austria,AUT,2016,84.688965
Croatia,HRV,2005,68.302368
Croatia,HRV,2010,68.249619
Croatia,HRV,2016,70.965515
Estonia,EST,2005,69.150002
Estonia,EST,2010,72.549995
Estonia,EST,2016,80.254471
Finland,FIN,1996,93.731918
Finland,FIN,2000,87.63031
Finland,FIN,2005,93.961044
Finland,FIN,2010,94.22094
Finland,FIN,2016,94.704308
Latvia,LVA,2005,60.617435
Latvia,LVA,2010,58.723831
Latvia,LVA,2016,74.278404
Montenegro,MNE,2016,55.766453
Slovenia,SVN,2005,88.295952
Slovenia,SVN,2010,85.252655
Slovenia,SVN,2016,88.493958
