Entity,Code,Year,RotaC (% of one-year-olds immunized)
African Region (WHO),,2006,0
African Region (WHO),,2008,0
African Region (WHO),,2010,2
African Region (WHO),,2012,5
African Region (WHO),,2014,29
African Region (WHO),,2016,42
African Region (WHO),,2018,46
African Region (WHO),,2020,51
African Region (WHO),,2021,52
Eastern Mediterranean Region (WHO),,2006,0
Eastern Mediterranean Region (WHO),,2008,0
Eastern Mediterranean Region (WHO),,2010,0
Eastern Mediterranean Region (WHO),,2012,12
Eastern Mediterranean Region (WHO),,2014,19
Eastern Mediterranean Region (WHO),,2016,23
Eastern Mediterranean Region (WHO),,2018,47
Eastern Mediterranean Region (WHO),,2020,57
Eastern Mediterranean Region (WHO),,2021,57
European Region (WHO),,2006,0
European Region (WHO),,2008,0
European Region (WHO),,2010,1
European Region (WHO),,2012,3
European Region (WHO),,2014,12
European Region (WHO),,2016,23
European Region (WHO),,2018,26
European Region (WHO),,2020,32
European Region (WHO),,2021,34
Region of the Americas (WHO),,2006,11
Region of the Americas (WHO),,2008,29
Region of the Americas (WHO),,2010,63
Region of the Americas (WHO),,2012,71
Region of the Americas (WHO),,2014,72
Region of the Americas (WHO),,2016,73
Region of the Americas (WHO),,2018,73
Region of the Americas (WHO),,2020,70
Region of the Americas (WHO),,2021,69
South-East Asia Region (WHO),,2006,0
South-East Asia Region (WHO),,2008,0
South-East Asia Region (WHO),,2010,0
South-East Asia Region (WHO),,2012,0
South-East Asia Region (WHO),,2014,0
South-East Asia Region (WHO),,2016,3
South-East Asia Region (WHO),,2018,24
South-East Asia Region (WHO),,2020,58
South-East Asia Region (WHO),,2021,61
Western Pacific Region (WHO),,2006,0
Western Pacific Region (WHO),,2008,1
Western Pacific Region (WHO),,2010,1
Western Pacific Region (WHO),,2012,1
Western Pacific Region (WHO),,2014,1
Western Pacific Region (WHO),,2016,1
Western Pacific Region (WHO),,2018,2
Western Pacific Region (WHO),,2020,2
Western Pacific Region (WHO),,2021,2
