Entity,Code,Year,"12.2.2 - Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars) - EN_MAT_DOMCMPG - Total or no breakdown"
Burkina Faso,BFA,2000,7.31
Burkina Faso,BFA,2005,8.29
Burkina Faso,BFA,2010,8.56
Burkina Faso,BFA,2015,7.76
Burkina Faso,BFA,2019,6.81
Suriname,SUR,2000,2.26
Suriname,SUR,2005,3.85
Suriname,SUR,2010,3.92
Suriname,SUR,2015,2.76
Suriname,SUR,2019,6.35
Thailand,THA,2000,2.22
Thailand,THA,2005,2.24
Thailand,THA,2010,2.07
Thailand,THA,2015,1.93
Thailand,THA,2019,1.81
