Entity,Code,Year,Number of ongoing wars - Conflict type: civil war,Number of ongoing wars - Conflict type: others (non-civil)
World,OWID_WRL,1800,0,1
World,OWID_WRL,1808,1,4
World,OWID_WRL,1816,3,3
World,OWID_WRL,1824,2,2
World,OWID_WRL,1832,1,0
World,OWID_WRL,1840,4,1
World,OWID_WRL,1848,2,3
World,OWID_WRL,1856,2,6
World,OWID_WRL,1864,3,6
World,OWID_WRL,1872,0,3
World,OWID_WRL,1880,0,3
World,OWID_WRL,1888,0,1
World,OWID_WRL,1896,0,2
World,OWID_WRL,1904,0,2
World,OWID_WRL,1912,0,3
World,OWID_WRL,1920,4,8
World,OWID_WRL,1928,1,0
World,OWID_WRL,1936,1,1
World,OWID_WRL,1944,0,3
World,OWID_WRL,1952,0,1
World,OWID_WRL,1960,0,0
World,OWID_WRL,1968,3,1
World,OWID_WRL,1976,2,1
World,OWID_WRL,1984,3,1
World,OWID_WRL,1992,6,1
World,OWID_WRL,2000,4,1
World,OWID_WRL,2011,1,0
