Entity,Code,Year,Low-carbon electricity - TWh
Afghanistan,AFG,2000,0.31
Afghanistan,AFG,2010,0.75
Finland,FIN,1990,35.239998
Finland,FIN,2000,45.86
Finland,FIN,2010,46.98
Finland,FIN,2022,64.78
Kenya,KEN,2000,2.03
Kenya,KEN,2010,5.1
Kenya,KEN,2022,11.09
Mexico,MEX,1980,17.825
Mexico,MEX,1990,32.54394
Mexico,MEX,2000,52.32
Mexico,MEX,2010,56.91
Mexico,MEX,2022,90.0
South Korea,KOR,1980,5.397529
South Korea,KOR,1990,57.57151
South Korea,KOR,2000,107.58
South Korea,KOR,2010,147.71
South Korea,KOR,2022,221.08
Upper-middle-income countries,,1965,154.59634
Upper-middle-income countries,,1970,232.37154
Upper-middle-income countries,,1980,545.1539
Upper-middle-income countries,,1990,835.23706
Upper-middle-income countries,,2000,1237.55
Upper-middle-income countries,,2010,2128.07
Upper-middle-income countries,,2022,4744.6577
Western Sahara,ESH,2000,0.0
Western Sahara,ESH,2010,0.0
