Entity,Code,Year,Percentage reporting homosexuality is never justified 
Australia,AUS,1981,40.838409
Australia,AUS,1995,31.083763
Australia,AUS,2005,22.99058
Brazil,BRA,2014,36.256378
Chile,CHL,1990,76.912659
Chile,CHL,2000,37.007633
China,CHN,1990,92.497429
China,CHN,1995,88.269371
Russia,RUS,1990,88.344231
Russia,RUS,1995,79.513298
South Africa,ZAF,1990,73.366028
Spain,ESP,1990,37.951527
Spain,ESP,1995,23.818203
Spain,ESP,2000,12.007803
United States,USA,1981,64.876648
United States,USA,1995,45.249672
