Entity,Code,Year,Estimated number of deaths from all forms of tuberculosis
High-income countries,,2000,25133
High-income countries,,2005,20612
High-income countries,,2010,16715
High-income countries,,2015,13724
High-income countries,,2020,12457
High-income countries,,2022,12379
Low-income countries,,2000,359110
Low-income countries,,2005,302797
Low-income countries,,2010,282011
Low-income countries,,2015,280256
Low-income countries,,2020,219678
Low-income countries,,2022,166530
Lower-middle-income countries,,2000,1815948
Lower-middle-income countries,,2005,1628557
Lower-middle-income countries,,2010,1394956
Lower-middle-income countries,,2015,1136777
Lower-middle-income countries,,2020,972810
Lower-middle-income countries,,2022,946818
Upper-middle-income countries,,2000,395892
Upper-middle-income countries,,2005,397562
Upper-middle-income countries,,2010,250166
Upper-middle-income countries,,2015,172379
Upper-middle-income countries,,2020,146435
Upper-middle-income countries,,2022,150000
World,OWID_WRL,2000,2597414
World,OWID_WRL,2005,2350531
World,OWID_WRL,2010,1944729
World,OWID_WRL,2015,1604087
World,OWID_WRL,2020,1352362
World,OWID_WRL,2022,1276659
