Entity,Code,Year,General Services Support (IDB Agrimonitor)
Bolivia,BOL,2006,21.1
Bolivia,BOL,2008,18.0
Brazil,BRA,2004,35.0
Brazil,BRA,2006,24.1
Brazil,BRA,2008,24.6
Brazil,BRA,2010,16.5
Brazil,BRA,2012,18.4
Brazil,BRA,2014,14.0
Chile,CHL,2004,27.6
Chile,CHL,2006,31.1
Chile,CHL,2008,44.7
Chile,CHL,2010,54.7
Chile,CHL,2012,47.0
Chile,CHL,2014,51.4
Colombia,COL,2004,7.0
Colombia,COL,2006,9.4
Colombia,COL,2008,9.5
Colombia,COL,2010,8.7
Colombia,COL,2012,14.6
Colombia,COL,2014,13.3
Costa Rica,CRI,2004,38.7
Costa Rica,CRI,2006,38.6
Costa Rica,CRI,2008,28.8
Costa Rica,CRI,2010,25.9
Costa Rica,CRI,2012,24.9
Dominican Republic,DOM,2006,3.6
Dominican Republic,DOM,2008,7.2
Dominican Republic,DOM,2010,6.9
Dominican Republic,DOM,2012,29.7
Ecuador,ECU,2006,19.6
Ecuador,ECU,2008,14.1
Ecuador,ECU,2010,5.2
Ecuador,ECU,2012,6.7
El Salvador,SLV,2012,3.995
Guatemala,GTM,2008,8.149
Guatemala,GTM,2010,4.833
Honduras,HND,2012,16.793
Jamaica,JAM,2006,8.127
Jamaica,JAM,2008,9.957
Jamaica,JAM,2010,7.344
Jamaica,JAM,2012,5.551
Mexico,MEX,2004,15.79
Mexico,MEX,2006,12.06
Mexico,MEX,2008,10.61
Mexico,MEX,2010,10.08
Mexico,MEX,2012,11.6
Mexico,MEX,2014,8.95
Nicaragua,NIC,2010,32.226
Paraguay,PRY,2008,30.171
Paraguay,PRY,2010,35.154
Paraguay,PRY,2012,41.54
Peru,PER,2010,47.978
Peru,PER,2012,50.388
Suriname,SUR,2010,34.256
Uruguay,URY,2010,64.51
Uruguay,URY,2012,71.38
