Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - Non-communicable diseases - Sex: Both - Age: All Ages (Percent),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2019,44.41,2079.9219,37769496.0,
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,33.2,6602.424,32353592.0,
Asia,,2019,,,4627738749.0,
Bangladesh,BGD,2019,65.5,5467.208,165516224.0,
Burundi,BDI,2019,29.14,729.65845,11874838.0,
Cameroon,CMR,2019,31.6,3756.5095,25782342.0,
Chad,TCD,2019,21.27,1561.9967,16126868.0,
China,CHN,2019,84.93,15977.764,1421864064.0,
Egypt,EGY,2019,77.34,11180.697,105618672.0,
Equatorial Guinea,GNQ,2019,33.42,16240.37,1553037.0,
Eswatini,SWZ,2019,32.6,8501.267,1169620.0,
Ethiopia,ETH,2019,34.49,2181.659,114120592.0,
Europe,,2019,,,747418251.0,
Gabon,GAB,2019,48.64,14478.002,2242788.0,
Ghana,GHA,2019,40.66,5345.9414,31522294.0,
Greece,GRC,2019,89.24,29721.586,10574026.0,
Guatemala,GTM,2019,59.07,8671.703,17106338.0,
Haiti,HTI,2019,48.76,3101.5942,11160441.0,
India,IND,2019,57.92,6608.624,1383112064.0,
Indonesia,IDN,2019,72.32,11857.789,269582880.0,
Iran,IRN,2019,78.09,14084.354,86564208.0,
Japan,JPN,2019,85.43,41697.41,125791680.0,
Kenya,KEN,2019,36.83,4601.2114,50951452.0,
Kiribati,KIR,2019,63.74,1990.518,124252.0,
Lesotho,LSO,2019,27.54,2533.1191,2225710.0,
Malawi,MWI,2019,33.54,1517.7031,18867340.0,
Malaysia,MYS,2019,73.55,27674.402,32804024.0,
Mali,MLI,2019,23.51,2219.0466,20567430.0,
Mexico,MEX,2019,74.92,20064.5,125085312.0,
Micronesia (country),FSM,2019,70.67,3540.7825,111392.0,
Morocco,MAR,2019,75.15,8217.599,36304408.0,
Mozambique,MOZ,2019,25.55,1285.1848,30285602.0,
Namibia,NAM,2019,39.05,10009.578,2446648.0,
Nepal,NPL,2019,61.18,3922.0813,28832500.0,
Nicaragua,NIC,2019,73.92,5348.9873,6663919.0,
Niger,NER,2019,21.22,1217.446,23443400.0,
Nigeria,NGA,2019,26.78,5076.368,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Oman,OMN,2019,67.88,33814.113,4602769.0,
Pakistan,PAK,2019,43.72,5157.5464,223293280.0,
Peru,PER,2019,67.86,12735.168,32824864.0,
Philippines,PHL,2019,64.5,8731.861,110380800.0,
Qatar,QAT,2019,73.68,90840.43,2807242.0,
Russia,RUS,2019,79.18,27254.574,145742288.0,
Saudi Arabia,SAU,2019,67.39,44954.992,35827364.0,
Senegal,SEN,2019,40.56,3430.484,16000783.0,
Singapore,SGP,2019,83.2,98283.31,5866408.0,
South Africa,ZAF,2019,38.4,13852.206,58087060.0,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,81.44,42758.59,51803832.0,
Sudan,SDN,2019,55.04,4133.1304,43232092.0,
Turkey,TUR,2019,83.53,28150.059,83481688.0,
Uganda,UGA,2019,30.99,2250.015,42949076.0,
Ukraine,UKR,2019,81.65,12804.955,44211100.0,
United Arab Emirates,ARE,2019,76.51,71782.16,9211660.0,
United States,USA,2019,86.39,62478.254,334319680.0,
Uzbekistan,UZB,2019,70.16,7348.147,32976946.0,
World,OWID_WRL,2019,63.82,16847.46,7764951040.0,
