Entity,Code,Year,Number of ongoing wars per state - Conflict type: civil war,Number of ongoing wars per state - Conflict type: others (non-civil)
World,OWID_WRL,1816,0.013636364,0.013636364
World,OWID_WRL,1823,0.01923077,0.014423077
World,OWID_WRL,1830,0.009302326,0.004651163
World,OWID_WRL,1837,0.004716981,0.014150944
World,OWID_WRL,1844,0.009345794,0.014018691
World,OWID_WRL,1851,0.004784689,0.014354067
World,OWID_WRL,1858,0.019138755,0.009569378
World,OWID_WRL,1865,0.010362694,0.031088082
World,OWID_WRL,1872,0.0,0.018867925
World,OWID_WRL,1879,0.0,0.027027028
World,OWID_WRL,1886,0.0,0.01459854
World,OWID_WRL,1893,0.0,0.056603774
World,OWID_WRL,1900,0.012820513,0.06410257
World,OWID_WRL,1907,0.0,0.016129032
World,OWID_WRL,1914,0.0,0.01724138
World,OWID_WRL,1921,0.029411765,0.05882353
World,OWID_WRL,1928,0.014925373,0.0
World,OWID_WRL,1935,0.0,0.028985508
World,OWID_WRL,1942,0.0,0.036363635
World,OWID_WRL,1949,0.012987013,0.025974026
World,OWID_WRL,1956,0.0,0.011363637
World,OWID_WRL,1963,0.008264462,0.0
World,OWID_WRL,1970,0.02173913,0.014492754
World,OWID_WRL,1977,0.012903226,0.006451613
World,OWID_WRL,1984,0.018072288,0.006024096
World,OWID_WRL,1991,0.027624309,0.005524862
World,OWID_WRL,1998,0.020942409,0.005235602
World,OWID_WRL,2011,0.0051282053,0.0
