Entity,Code,Year,Cumulative CO₂ emissions
Brazil,BRA,1950,255111800.0
Brazil,BRA,2000,7463198000.0
Brazil,BRA,2022,17176787000.0
Canada,CAN,1800,58624.0
Canada,CAN,1850,428688.0
Canada,CAN,1900,281351230.0
Canada,CAN,1950,4506218000.0
Canada,CAN,2000,22188884000.0
Canada,CAN,2022,34613203000.0
China,CHN,1950,2271156500.0
China,CHN,2000,75724000000.0
China,CHN,2022,260619240000.0
European Union (27),,1800,5327456.0
European Union (27),,1850,864346300.0
European Union (27),,1900,15705393000.0
European Union (27),,1950,65644876000.0
European Union (27),,2000,223313740000.0
European Union (27),,2022,295969980000.0
India,IND,1900,115005144.0
India,IND,1950,1998734300.0
India,IND,2000,18913452000.0
India,IND,2022,59740700000.0
South Africa,ZAF,1900,31942752.0
South Africa,ZAF,1950,1492941200.0
South Africa,ZAF,2000,12148253000.0
South Africa,ZAF,2022,21859981000.0
United Kingdom,GBR,1750,9305937.0
United Kingdom,GBR,1800,786281660.0
United Kingdom,GBR,1850,3712425500.0
United Kingdom,GBR,1900,16750149000.0
United Kingdom,GBR,1950,39166018000.0
United Kingdom,GBR,2000,68482980000.0
United Kingdom,GBR,2022,78834704000.0
United States,USA,1800,252815.98
United States,USA,1850,189974740.0
United States,USA,1900,10664452000.0
United States,USA,1950,91987830000.0
United States,USA,2000,304362460000.0
United States,USA,2022,426914550000.0
