Entity,Code,Year,Years lived with disability
Chile,CHL,1990,9.26
Chile,CHL,1995,9.53
Chile,CHL,2000,10.01
Chile,CHL,2005,10.17
Chile,CHL,2010,10.32
Chile,CHL,2016,10.42
China,CHN,1990,7.11
China,CHN,1995,7.21
China,CHN,2000,7.4
China,CHN,2005,7.71
China,CHN,2010,8.17
China,CHN,2016,8.51
Nicaragua,NIC,1990,9.03
Nicaragua,NIC,1995,8.8
Nicaragua,NIC,2000,9.05
Nicaragua,NIC,2005,9.12
Nicaragua,NIC,2010,9.23
Nicaragua,NIC,2016,9.35
Turkmenistan,TKM,1990,7.48
Turkmenistan,TKM,1995,7.23
Turkmenistan,TKM,2000,7.24
Turkmenistan,TKM,2005,7.45
Turkmenistan,TKM,2010,7.85
Turkmenistan,TKM,2016,8.18
United Kingdom,GBR,1990,9.83
United Kingdom,GBR,1995,10.03
United Kingdom,GBR,2000,10.2
United Kingdom,GBR,2005,10.51
United Kingdom,GBR,2010,10.76
United Kingdom,GBR,2016,10.85
United States,USA,1990,10.19
United States,USA,1995,10.33
United States,USA,2000,10.57
United States,USA,2005,10.8
United States,USA,2010,11.13
United States,USA,2016,11.16
