Entity,Code,Year,rule_of_law_vdem_owid,rule_of_law_vdem_high_owid,rule_of_law_vdem_low_owid
Argentina,ARG,1789,0.49,0.61,0.386
Argentina,ARG,1850,0.508,0.622,0.38
Argentina,ARG,1900,0.68,0.768,0.584
Argentina,ARG,1950,0.473,0.586,0.369
Argentina,ARG,2000,0.667,0.752,0.565
Argentina,ARG,2022,0.653,0.735,0.553
Australia,AUS,1789,0.785,0.866,0.687
Australia,AUS,1850,0.915,0.949,0.86
Australia,AUS,1900,0.976,0.987,0.954
Australia,AUS,1950,0.992,0.996,0.984
Australia,AUS,2000,0.995,0.998,0.989
Australia,AUS,2022,0.991,0.996,0.984
Botswana,BWA,1900,0.853,0.907,0.787
Botswana,BWA,1950,0.866,0.919,0.802
Botswana,BWA,2000,0.909,0.943,0.862
Botswana,BWA,2022,0.83,0.889,0.765
China,CHN,1789,0.07,0.117,0.038
China,CHN,1850,0.07,0.117,0.038
China,CHN,1900,0.078,0.122,0.046
China,CHN,1950,0.415,0.515,0.318
China,CHN,2000,0.346,0.451,0.267
China,CHN,2022,0.269,0.367,0.192
