Entity,Code,Year,Annual CO₂ emissions (per capita)
Canada,CAN,1800,0.007328
Canada,CAN,1850,0.023672614
Canada,CAN,1900,3.809882
Canada,CAN,1950,11.215383
Canada,CAN,2000,18.482231
Canada,CAN,2022,14.249212
China,CHN,1950,0.14492334
China,CHN,2000,2.8867998
China,CHN,2022,7.992761
European Union (27),,1800,0.009118063
European Union (27),,1850,0.29367304
European Union (27),,1900,2.7503893
European Union (27),,1950,3.8808277
European Union (27),,2000,8.441661
European Union (27),,2022,6.1743994
India,IND,1900,0.042497184
India,IND,1950,0.1711455
India,IND,2000,0.92251354
India,IND,2022,1.9966822
Kenya,KEN,1950,0.15737168
Kenya,KEN,2000,0.33738407
Kenya,KEN,2022,0.45998666
South Africa,ZAF,1900,0.4512719
South Africa,ZAF,1950,4.678921
South Africa,ZAF,2000,8.081188
South Africa,ZAF,2022,6.7461643
United Kingdom,GBR,1750,1.0019125
United Kingdom,GBR,1800,2.9153564
United Kingdom,GBR,1850,4.489172
United Kingdom,GBR,1900,10.215249
United Kingdom,GBR,1950,10.004824
United Kingdom,GBR,2000,9.669214
United Kingdom,GBR,2022,4.7201805
United States,USA,1800,0.042136
United States,USA,1850,0.83870095
United States,USA,1900,8.856599
United States,USA,1950,17.139591
United States,USA,2000,21.282457
United States,USA,2022,14.949616
World,OWID_WRL,1750,0.012480065
World,OWID_WRL,1800,0.033286307
World,OWID_WRL,1850,0.15385547
World,OWID_WRL,1900,1.199232
World,OWID_WRL,1950,2.37238
World,OWID_WRL,2000,4.147293
World,OWID_WRL,2022,4.658219
