Entity,Code,Year,"Inbound mobility rate, both sexes (%)"
Comoros,COM,2010,0.0
Cyprus,CYP,1999,17.15551
Cyprus,CYP,2005,24.37992
Cyprus,CYP,2010,31.93001
Cyprus,CYP,2015,17.53215
Cyprus,CYP,2018,23.89917
Guyana,GUY,2005,0.59082
Guyana,GUY,2010,0.50384
Middle East and North Africa (WB),,2005,1.80751
Middle East and North Africa (WB),,2010,1.9312
Middle East and North Africa (WB),,2015,2.38065
Middle East and North Africa (WB),,2018,2.59869
Upper-middle-income countries,,1999,0.7966
Upper-middle-income countries,,2005,0.66488
Upper-middle-income countries,,2010,0.82957
Upper-middle-income countries,,2015,0.93586
Upper-middle-income countries,,2018,1.06224
