Entity,Code,Year,"Prevalence of current tobacco use, males (% of male adults)","Prevalence of current tobacco use, females (% of female adults)",Population (historical estimates),Continent
Africa,,2020,,,1360677453.0,
Albania,ALB,2020,38.8,6.0,2866850.0,
Asia,,2020,,,4663086623.0,
Bangladesh,BGD,2020,52.2,17.1,167420944.0,
Bosnia and Herzegovina,BIH,2020,42.0,28.0,3318410.0,
Brazil,BRA,2020,16.2,9.4,213196304.0,
Burundi,BDI,2020,17.4,6.1,12220229.0,
Cambodia,KHM,2020,36.1,6.0,16396864.0,
Chile,CHL,2020,31.6,26.8,19300318.0,
China,CHN,2020,49.4,1.7,1424929792.0,
Cote d'Ivoire,CIV,2020,17.9,0.9,26811792.0,
Croatia,HRV,2020,37.6,36.1,4096872.0,
Cuba,CUB,2020,25.5,10.3,11300695.0,
Cyprus,CYP,2020,47.0,23.2,1237540.0,
Czechia,CZE,2020,35.0,26.4,10530951.0,
East Timor,TLS,2020,67.6,10.8,1299998.0,
Estonia,EST,2020,36.3,23.0,1329449.0,
Europe,,2020,,,747462669.0,
Fiji,FJI,2020,35.6,10.5,920430.0,
France,FRA,2020,34.9,31.9,64480052.0,
Georgia,GEO,2020,56.3,7.1,3765912.0,
Germany,DEU,2020,24.1,19.9,83328992.0,
High-income countries,,2020,27.616552,17.345861,1218093003.0,
Iceland,ISL,2020,11.9,12.0,366682.0,
India,IND,2020,41.3,13.0,1396387072.0,
Indonesia,IDN,2020,71.4,3.7,271857984.0,
Iraq,IRQ,2020,35.1,1.8,42556988.0,
Israel,ISR,2020,28.9,13.5,8757487.0,
Japan,JPN,2020,30.1,10.0,125244760.0,
Jordan,JOR,2020,56.8,12.8,10928723.0,
Laos,LAO,2020,53.3,10.3,7319397.0,
Latvia,LVA,2020,50.3,23.7,1897057.0,
Lebanon,LBN,2020,47.5,28.9,5662924.0,
Lithuania,LTU,2020,42.1,21.8,2820269.0,
Low-income countries,,2020,21.141304,3.8627436,680258922.0,
Maldives,MDV,2020,44.4,6.0,514451.0,
Mongolia,MNG,2020,51.7,7.1,3294340.0,
Montenegro,MNE,2020,31.6,31.1,629058.0,
Morocco,MAR,2020,28.2,0.8,36688768.0,
Myanmar,MMR,2020,68.5,19.7,53423200.0,
Nauru,NRU,2020,47.8,49.1,12339.0,
Nepal,NPL,2020,47.9,12.8,29348626.0,
Niger,NER,2020,13.7,1.1,24333644.0,
Nigeria,NGA,2020,6.9,0.5,208327408.0,
North America,,2020,,,594263186.0,
Oceania,,2020,,,43933757.0,
Pakistan,PAK,2020,33.0,7.3,227196736.0,
Papua New Guinea,PNG,2020,53.5,25.1,9749641.0,
Qatar,QAT,2020,21.7,1.9,2760390.0,
Romania,ROU,2020,35.9,20.0,19442040.0,
Samoa,WSM,2020,36.1,14.5,214934.0,
Serbia,SRB,2020,40.5,39.1,7358010.0,
Singapore,SGP,2020,28.0,5.0,5909874.0,
South America,,2020,,,431530105.0,
Spain,ESP,2020,28.6,26.7,47363808.0,
Tanzania,TZA,2020,14.0,3.4,61704520.0,
Thailand,THA,2020,41.3,2.9,71475664.0,
Tonga,TON,2020,46.7,15.3,105265.0,
Turkey,TUR,2020,42.1,19.2,84135432.0,
Turkmenistan,TKM,2020,10.6,0.4,6250442.0,
Tuvalu,TUV,2020,49.8,21.3,11090.0,
United Kingdom,GBR,2020,17.3,13.5,67059472.0,
Vietnam,VNM,2020,47.4,2.2,96648680.0,
World,OWID_WRL,2020,37.34259,8.68668,7840952832.0,
Zambia,ZMB,2020,25.1,3.7,18927716.0,
