Entity,Code,Year,Total greenhouse gas emissions excluding land-use change and forestry
Australia,AUS,1990,490530000.0
Australia,AUS,1995,508460000.0
Australia,AUS,2000,606859970.0
Australia,AUS,2005,571060000.0
Australia,AUS,2010,589469950.0
Australia,AUS,2015,622090050.0
Australia,AUS,2020,571900000.0
China,CHN,1990,3238860000.0
China,CHN,1995,4307870000.0
China,CHN,2000,4567270000.0
China,CHN,2005,7263560000.0
China,CHN,2010,10211639000.0
China,CHN,2015,11804701000.0
China,CHN,2020,12942871000.0
South Africa,ZAF,1990,327850020.0
South Africa,ZAF,1995,349910000.0
South Africa,ZAF,2000,368780000.0
South Africa,ZAF,2005,469920000.0
South Africa,ZAF,2010,528520030.0
South Africa,ZAF,2015,530520030.0
South Africa,ZAF,2020,501520000.0
Spain,ESP,1990,275620000.0
Spain,ESP,1995,303380000.0
Spain,ESP,2000,369380000.0
Spain,ESP,2005,424170020.0
Spain,ESP,2010,350180000.0
Spain,ESP,2015,326260000.0
Spain,ESP,2020,270309980.0
United Kingdom,GBR,1990,749510000.0
United Kingdom,GBR,1995,712170000.0
United Kingdom,GBR,2000,690360000.0
United Kingdom,GBR,2005,677960000.0
United Kingdom,GBR,2010,594570000.0
United Kingdom,GBR,2015,498510000.0
United Kingdom,GBR,2020,398320000.0
United States,USA,1990,5855540000.0
United States,USA,1995,6168770000.0
United States,USA,2000,6810660400.0
United States,USA,2005,6772890000.0
United States,USA,2010,6454240000.0
United States,USA,2015,6112060000.0
United States,USA,2020,5505180000.0
