Entity,Code,Year,Lifetime risk of maternal death (%)
Botswana,BWA,2000,0.8105402
Botswana,BWA,2002,0.82591844
Botswana,BWA,2004,0.7951689
Botswana,BWA,2006,0.7001584
Botswana,BWA,2008,0.6532604
Botswana,BWA,2010,0.586304
Botswana,BWA,2012,0.5573985
Botswana,BWA,2014,0.52472055
Botswana,BWA,2016,0.4797107
Botswana,BWA,2017,0.4495052
Burundi,BDI,2000,6.383624
Burundi,BDI,2002,5.6273003
Burundi,BDI,2004,4.9964757
Burundi,BDI,2006,4.596478
Burundi,BDI,2008,4.2643847
Burundi,BDI,2010,3.8579652
Burundi,BDI,2012,3.528534
Burundi,BDI,2014,3.3073242
Burundi,BDI,2016,3.1379416
Burundi,BDI,2017,3.0348012
Fiji,FJI,2000,0.16564612
Fiji,FJI,2002,0.1509312
Fiji,FJI,2004,0.14197178
Fiji,FJI,2006,0.13154943
Fiji,FJI,2008,0.120984584
Fiji,FJI,2010,0.11291514
Fiji,FJI,2012,0.110630095
Fiji,FJI,2014,0.1080596
Fiji,FJI,2016,0.103232734
Fiji,FJI,2017,0.100226626
Maldives,MDV,2000,0.37508366
Maldives,MDV,2002,0.27719498
Maldives,MDV,2004,0.22129333
Maldives,MDV,2006,0.17538722
Maldives,MDV,2008,0.18075532
Maldives,MDV,2010,0.16828671
Maldives,MDV,2012,0.14968702
Maldives,MDV,2014,0.13558614
Maldives,MDV,2016,0.12522008
Maldives,MDV,2017,0.119214766
Mauritius,MUS,2000,0.12122458
Mauritius,MUS,2002,0.10693104
Mauritius,MUS,2004,0.102049366
Mauritius,MUS,2006,0.09948912
Mauritius,MUS,2008,0.0884169
Mauritius,MUS,2010,0.103264764
Mauritius,MUS,2012,0.0942246
Mauritius,MUS,2014,0.10102956
Mauritius,MUS,2016,0.094394855
Mauritius,MUS,2017,0.08619929
Morocco,MAR,2000,0.5312782
Morocco,MAR,2002,0.44067505
Morocco,MAR,2004,0.37890837
Morocco,MAR,2006,0.31808352
Morocco,MAR,2008,0.27881247
Morocco,MAR,2010,0.24394584
Morocco,MAR,2012,0.21761742
Morocco,MAR,2014,0.20165363
Morocco,MAR,2016,0.18540618
Morocco,MAR,2017,0.17838623
South Africa,ZAF,2000,0.43468517
South Africa,ZAF,2002,0.45909122
South Africa,ZAF,2004,0.4912955
South Africa,ZAF,2006,0.50606674
South Africa,ZAF,2008,0.49134025
South Africa,ZAF,2010,0.44851765
South Africa,ZAF,2012,0.38086212
South Africa,ZAF,2014,0.33877864
South Africa,ZAF,2016,0.3133751
South Africa,ZAF,2017,0.30060646
