Entity,Code,Year,Country-reported HIV expenditure by funding source - Disaggregation: Total
Belize,BLZ,2008,2024334.5
Belize,BLZ,2010,2877998.0
Belize,BLZ,2012,2836771.5
Belize,BLZ,2022,0.0
Djibouti,DJI,2008,3220826.0
Djibouti,DJI,2010,5046033.5
Djibouti,DJI,2012,3828455.5
Djibouti,DJI,2014,2883765.2
Djibouti,DJI,2020,0.0
Djibouti,DJI,2022,0.0
Honduras,HND,2006,17485078.0
Honduras,HND,2008,28463574.0
Honduras,HND,2010,36184176.0
Honduras,HND,2012,38299976.0
Honduras,HND,2016,0.0
Honduras,HND,2018,0.0
Honduras,HND,2020,25018008.0
Honduras,HND,2022,27299706.0
Panama,PAN,2006,21997472.0
Panama,PAN,2008,21077738.0
Panama,PAN,2010,24275360.0
Panama,PAN,2012,47835016.0
Panama,PAN,2018,54953776.0
Panama,PAN,2020,3260821.8
Panama,PAN,2022,42686804.0
Russia,RUS,2006,304989820.0
Russia,RUS,2008,780172800.0
Russia,RUS,2014,512676060.0
Samoa,WSM,2010,345027.7
Samoa,WSM,2018,167099.56
Senegal,SEN,2006,11934512.0
Senegal,SEN,2008,29758122.0
Senegal,SEN,2012,25134304.0
Senegal,SEN,2014,17191880.0
Senegal,SEN,2016,0.0
Senegal,SEN,2018,0.0
Senegal,SEN,2022,1776963.6
Tuvalu,TUV,2008,100132.46
Tuvalu,TUV,2010,59641.0
