Entity,Code,Year,Gas electricity per capita - kWh
Burundi,BDI,2000,0.0
Burundi,BDI,2005,0.0
Burundi,BDI,2010,0.0
Burundi,BDI,2015,0.0
Burundi,BDI,2020,0.0
Burundi,BDI,2022,0.0
Kenya,KEN,2000,0.0
Kenya,KEN,2005,0.0
Kenya,KEN,2010,0.0
Kenya,KEN,2015,0.0
Kenya,KEN,2020,0.0
Kenya,KEN,2022,0.0
Luxembourg,LUX,1990,78.683365
Luxembourg,LUX,1995,367.97266
Luxembourg,LUX,2000,482.05603
Luxembourg,LUX,2005,6690.071
Luxembourg,LUX,2010,5758.517
Luxembourg,LUX,2015,1475.1982
Luxembourg,LUX,2020,285.53253
Luxembourg,LUX,2022,169.85768
Montserrat,MSR,2000,0.0
Montserrat,MSR,2005,0.0
Montserrat,MSR,2010,0.0
Montserrat,MSR,2015,0.0
Montserrat,MSR,2020,0.0
Namibia,NAM,2000,0.0
Namibia,NAM,2005,0.0
Namibia,NAM,2010,0.0
Namibia,NAM,2015,0.0
Namibia,NAM,2020,0.0
Nicaragua,NIC,2000,0.0
Nicaragua,NIC,2005,0.0
Nicaragua,NIC,2010,0.0
Nicaragua,NIC,2015,0.0
Nicaragua,NIC,2020,0.0
