Entity,Code,Year,Scientific and technical journal articles
Greece,GRC,2000,5292.2
Greece,GRC,2002,6428.0
Greece,GRC,2004,7956.45
Greece,GRC,2006,10605.54
Greece,GRC,2008,11817.55
Greece,GRC,2010,11994.49
Greece,GRC,2012,11924.42
Greece,GRC,2014,11664.94
Greece,GRC,2016,11156.77
Greece,GRC,2018,10906.99
Peru,PER,2000,175.8
Peru,PER,2002,192.97
Peru,PER,2004,260.11
Peru,PER,2006,433.51
Peru,PER,2008,400.26
Peru,PER,2010,545.12
Peru,PER,2012,637.19
Peru,PER,2014,744.18
Peru,PER,2016,1064.63
Peru,PER,2018,1629.88
Rwanda,RWA,2000,3.19
Rwanda,RWA,2002,3.73
Rwanda,RWA,2004,9.13
Rwanda,RWA,2006,19.01
Rwanda,RWA,2008,30.0
Rwanda,RWA,2010,46.1
Rwanda,RWA,2012,55.14
Rwanda,RWA,2014,93.92
Rwanda,RWA,2016,127.71
Rwanda,RWA,2018,169.52
Serbia,SRB,2000,0.0
Serbia,SRB,2002,0.0
Serbia,SRB,2004,0.0
Serbia,SRB,2006,0.0
Serbia,SRB,2008,3024.86
Serbia,SRB,2010,3988.03
Serbia,SRB,2012,5879.6
Serbia,SRB,2014,5052.69
Serbia,SRB,2016,4982.05
Serbia,SRB,2018,4523.42
Sri Lanka,LKA,2000,204.59
Sri Lanka,LKA,2002,245.67
Sri Lanka,LKA,2004,263.94
Sri Lanka,LKA,2006,382.77
Sri Lanka,LKA,2008,512.86
Sri Lanka,LKA,2010,502.34
Sri Lanka,LKA,2012,610.59
Sri Lanka,LKA,2014,707.91
Sri Lanka,LKA,2016,1082.79
Sri Lanka,LKA,2018,1347.54
Sudan,SDN,2000,69.66
Sudan,SDN,2002,71.02
Sudan,SDN,2004,103.9
Sudan,SDN,2006,110.97
Sudan,SDN,2008,171.18
Sudan,SDN,2010,255.95
Sudan,SDN,2012,266.98
Sudan,SDN,2014,236.6
Sudan,SDN,2016,376.74
Sudan,SDN,2018,397.77
Upper-middle-income countries,,2000,129515.414
Upper-middle-income countries,,2002,163268.17
Upper-middle-income countries,,2004,221012.67
Upper-middle-income countries,,2006,308597.72
Upper-middle-income countries,,2008,388753.06
Upper-middle-income countries,,2010,478111.75
Upper-middle-income countries,,2012,516917.1
Upper-middle-income countries,,2014,602518.06
Upper-middle-income countries,,2016,686024.56
Upper-middle-income countries,,2018,815833.56
