Entity,Code,Year,Subject:Average hours worked per person employed - PDB_LV
Australia,AUS,1970,1864.935951
Australia,AUS,1980,1828.388919
Australia,AUS,1990,1853.201181
Australia,AUS,2000,1831.025706
Australia,AUS,2010,1755.149614
Canada,CAN,1970,1924.771041
Canada,CAN,1980,1827.169011
Canada,CAN,1990,1797.104108
Canada,CAN,2000,1778.614639
Canada,CAN,2010,1703.027239
France,FRA,1970,1948.230073
France,FRA,1980,1778.86777
France,FRA,1990,1629.096067
France,FRA,2000,1549.964996
France,FRA,2010,1527.950982
Germany,DEU,1970,1959.752667
Germany,DEU,1980,1745.067788
Germany,DEU,1990,1572.255236
Germany,DEU,2000,1452.012927
Germany,DEU,2010,1389.882984
Germany,DEU,2017,1355.474749
Iceland,ISL,1970,2350.163444
Iceland,ISL,1980,2029.93808
Iceland,ISL,1990,2002.718796
Iceland,ISL,2000,2040.0
Iceland,ISL,2010,1834.0
Italy,ITA,1970,2042.067863
Italy,ITA,1980,1856.018516
Italy,ITA,1990,1863.761201
Italy,ITA,2000,1850.806167
Italy,ITA,2010,1777.273649
Japan,JPN,1970,2243.0
Japan,JPN,1980,2121.0
Japan,JPN,1990,2031.0
Japan,JPN,2000,1821.0
Japan,JPN,2010,1733.0
Korea,,1970,2531.166598
Korea,,1980,2829.875771
Korea,,1990,2645.103855
Korea,,2000,2479.615975
Korea,,2010,2162.991029
Netherlands,NLD,1970,1806.287484
Netherlands,NLD,1980,1553.247211
Netherlands,NLD,1990,1451.230974
Netherlands,NLD,2000,1462.021194
Netherlands,NLD,2010,1421.341194
Norway,NOR,1970,1835.466179
Norway,NOR,1980,1579.784505
Norway,NOR,1990,1502.6712
Norway,NOR,2000,1456.465517
Norway,NOR,2010,1426.476264
South Africa,ZAF,2010,2235.742364
Sweden,SWE,1970,1729.889224
Sweden,SWE,1980,1530.901967
Sweden,SWE,1990,1575.441122
Sweden,SWE,2000,1642.0825
Sweden,SWE,2010,1635.006781
United Kingdom,GBR,1970,1926.471533
United Kingdom,GBR,1980,1757.39556
United Kingdom,GBR,1990,1755.406431
United Kingdom,GBR,2000,1699.119647
United Kingdom,GBR,2010,1630.139902
United States,USA,1970,1857.165016
United States,USA,1980,1769.805307
United States,USA,1990,1764.238538
United States,USA,2000,1813.40758
United States,USA,2010,1709.164981
