Entity,Code,Year,Deaths - Stroke - Sex: Both - Age: Age-standardized (Rate)
Democratic Republic of Congo,COD,1990,139.77
Democratic Republic of Congo,COD,1995,137.61
Democratic Republic of Congo,COD,2000,134.82
Democratic Republic of Congo,COD,2005,131.37
Democratic Republic of Congo,COD,2010,128.22
Democratic Republic of Congo,COD,2015,120.68
Democratic Republic of Congo,COD,2019,117.04
Singapore,SGP,1990,90.35
Singapore,SGP,1995,74.91
Singapore,SGP,2000,55.23
Singapore,SGP,2005,41.8
Singapore,SGP,2010,32.53
Singapore,SGP,2015,24.46
Singapore,SGP,2019,22.12
Solomon Islands,SLB,1990,294.94
Solomon Islands,SLB,1995,288.84
Solomon Islands,SLB,2000,291.44
Solomon Islands,SLB,2005,302.96
Solomon Islands,SLB,2010,299.78
Solomon Islands,SLB,2015,305.32
Solomon Islands,SLB,2019,308.08
Uganda,UGA,1990,121.52
Uganda,UGA,1995,132.86
Uganda,UGA,2000,138.94
Uganda,UGA,2005,127.21
Uganda,UGA,2010,112.03
Uganda,UGA,2015,108.07
Uganda,UGA,2019,104.65
Zambia,ZMB,1990,140.12
Zambia,ZMB,1995,149.96
Zambia,ZMB,2000,151.98
Zambia,ZMB,2005,153.11
Zambia,ZMB,2010,149.59
Zambia,ZMB,2015,165.92
Zambia,ZMB,2019,162.07
