Entity,Code,Year,Taxes including social contributions (as a share of GDP)
Australia,AUS,1980,27.885738
Australia,AUS,1985,29.025051
Australia,AUS,1990,28.080273
Australia,AUS,1995,29.19053
Australia,AUS,2000,31.26495
Australia,AUS,2005,30.932743
Australia,AUS,2010,26.148222
Australia,AUS,2015,28.120186
Australia,AUS,2020,29.974062
Eswatini,SWZ,1985,19.240507
Eswatini,SWZ,1990,20.9375
Eswatini,SWZ,1995,20.091324
Eswatini,SWZ,2000,18.133377
Eswatini,SWZ,2005,22.024038
Eswatini,SWZ,2010,16.000618
Eswatini,SWZ,2015,26.382523
Eswatini,SWZ,2020,28.12715
Eswatini,SWZ,2022,24.706898
Fiji,FJI,1980,16.885553
Fiji,FJI,1985,19.565218
Fiji,FJI,1990,21.006527
Fiji,FJI,1995,20.49667
Fiji,FJI,2000,17.898533
Fiji,FJI,2005,19.706154
Fiji,FJI,2010,20.105198
Fiji,FJI,2015,23.739017
Fiji,FJI,2020,19.258224
Fiji,FJI,2022,18.811045
Iceland,ISL,1980,28.719723
Iceland,ISL,1985,27.522018
Iceland,ISL,1990,30.317146
Iceland,ISL,1995,30.724546
Iceland,ISL,2000,35.875076
Iceland,ISL,2005,39.317505
Iceland,ISL,2010,32.140755
Iceland,ISL,2015,35.13871
Iceland,ISL,2020,36.354153
Saint Lucia,LCA,1990,16.950129
Saint Lucia,LCA,1995,16.034985
Saint Lucia,LCA,2000,17.064884
Saint Lucia,LCA,2005,17.651045
Saint Lucia,LCA,2010,18.216373
Saint Lucia,LCA,2015,18.717213
Saint Lucia,LCA,2020,19.953579
Saint Lucia,LCA,2022,19.095272
Syria,SYR,1990,17.31463
Syria,SYR,2000,14.708013
Syria,SYR,2005,13.827966
