Entity,Code,Year,"Fertility rate (Complete Gapminder, v12) (2017)",Combined - average years of education for 15-64 years male and female youth and adults,Population (historical estimates),Continent
Afghanistan,AFG,2020,4.04,5.69,38972236.0,
Africa,,2020,,6.6818657,1360677453.0,
Asia,,2020,,8.571011,4663086623.0,
Austria,AUT,2020,1.54,10.39,8907780.0,
Bangladesh,BGD,2020,2.0,7.23,167420944.0,
Benin,BEN,2020,4.7,6.27,12643121.0,
Brazil,BRA,2020,1.67,8.0,213196304.0,
Burundi,BDI,2020,5.38,5.05,12220229.0,
Cambodia,KHM,2020,2.45,5.81,16396864.0,
Cameroon,CMR,2020,4.44,7.37,26491090.0,
Central African Republic,CAF,2020,4.57,4.64,5343024.0,
China,CHN,2020,1.65,8.99,1424929792.0,
Colombia,COL,2020,1.78,10.2,50930656.0,
Congo,COG,2020,4.42,6.74,5702183.0,
Democratic Republic of Congo,COD,2020,5.72,4.85,92853168.0,
Egypt,EGY,2020,3.06,8.01,107465128.0,
El Salvador,SLV,2020,2.0,8.1,6292734.0,
Estonia,EST,2020,1.69,12.29,1329449.0,
Europe,,2020,,11.9022875,747462669.0,
Fiji,FJI,2020,2.42,11.52,920430.0,
Finland,FIN,2020,1.79,11.05,5529468.0,
Gabon,GAB,2020,3.54,10.18,2292583.0,
Ghana,GHA,2020,3.76,8.39,32180402.0,
Guatemala,GTM,2020,2.77,6.26,17362716.0,
Guyana,GUY,2020,2.41,8.52,797207.0,
India,IND,2020,2.24,7.8,1396387072.0,
Indonesia,IDN,2020,2.26,9.06,271857984.0,
Iran,IRN,2020,1.57,9.8,87290192.0,
Iraq,IRQ,2020,4.14,8.27,42556988.0,
Israel,ISR,2020,2.86,12.04,8757487.0,
Italy,ITA,2020,1.52,11.51,59500576.0,
Japan,JPN,2020,1.51,12.83,125244760.0,
Jordan,JOR,2020,3.12,10.81,10928723.0,
Kazakhstan,KAZ,2020,2.51,11.79,18979250.0,
Kenya,KEN,2020,3.63,6.73,51985780.0,
Kyrgyzstan,KGZ,2020,2.82,11.18,6424880.0,
Malawi,MWI,2020,4.31,5.41,19377058.0,
Mali,MLI,2020,5.7,3.55,21224042.0,
Mexico,MEX,2020,2.07,10.18,125998296.0,
Moldova,MDA,2020,1.23,10.84,3084848.0,
Mozambique,MOZ,2020,4.99,4.22,31178242.0,
Myanmar,MMR,2020,2.13,6.48,53423200.0,
Niger,NER,2020,7.0,3.04,24333644.0,
North America,,2020,,11.858304,594263186.0,
Oceania,,2020,,10.736105,43933757.0,
Pakistan,PAK,2020,3.23,6.41,227196736.0,
Philippines,PHL,2020,2.81,9.44,112190984.0,
Poland,POL,2020,1.29,12.01,38428368.0,
Portugal,PRT,2020,1.24,9.56,10298186.0,
Russia,RUS,2020,1.77,11.6,145617328.0,
South Africa,ZAF,2020,2.35,10.47,58801928.0,
South America,,2020,,8.909957,431530105.0,
Sudan,SDN,2020,4.29,4.38,44440484.0,
Taiwan,TWN,2020,1.25,12.76,23821468.0,
Tajikistan,TJK,2020,3.18,10.12,9543211.0,
Tanzania,TZA,2020,4.77,6.87,61704520.0,
Togo,TGO,2020,4.2,7.68,8442583.0,
Tonga,TON,2020,3.48,11.42,105265.0,
Uganda,UGA,2020,5.24,6.69,44404608.0,
United States,USA,2020,1.89,13.32,335942016.0,
Yemen,YEM,2020,3.61,5.56,32284044.0,
Zambia,ZMB,2020,4.76,8.37,18927716.0,
Zimbabwe,ZWE,2020,3.47,8.32,15669663.0,
