Entity,Code,Year,Deaths - Self-harm by firearm - Sex: Both - Age: All Ages (Number)
Israel,ISR,1990,85
Israel,ISR,1995,129
Israel,ISR,2000,157
Israel,ISR,2005,142
Israel,ISR,2010,114
Israel,ISR,2015,96
Israel,ISR,2019,97
Paraguay,PRY,1990,31
Paraguay,PRY,1995,45
Paraguay,PRY,2000,57
Paraguay,PRY,2005,70
Paraguay,PRY,2010,75
Paraguay,PRY,2015,78
Paraguay,PRY,2019,86
Switzerland,CHE,1990,581
Switzerland,CHE,1995,496
Switzerland,CHE,2000,416
Switzerland,CHE,2005,323
Switzerland,CHE,2010,262
Switzerland,CHE,2015,228
Switzerland,CHE,2019,217
United States,USA,1990,19318
United States,USA,1995,19615
United States,USA,2000,18446
United States,USA,2005,19218
United States,USA,2010,20903
United States,USA,2015,23307
United States,USA,2019,23365
