Entity,Code,Year,Deaths - Sex: all - Age: 0 - Variant: estimates
Armenia,ARM,1950,5224
Armenia,ARM,1960,7227
Armenia,ARM,1970,4691
Armenia,ARM,1980,4790
Armenia,ARM,1990,3588
Armenia,ARM,2000,1084
Armenia,ARM,2010,673
Armenia,ARM,2021,317
Gabon,GAB,1950,2244
Gabon,GAB,1960,2019
Gabon,GAB,1970,1999
Gabon,GAB,1980,2119
Gabon,GAB,1990,2213
Gabon,GAB,2000,2317
Gabon,GAB,2010,2381
Gabon,GAB,2021,1856
More developed regions,,1950,1152226
More developed regions,,1960,650327
More developed regions,,1970,419971
More developed regions,,1980,286154
More developed regions,,1990,177416
More developed regions,,2000,99347
More developed regions,,2010,74778
More developed regions,,2021,48718
