Entity,Code,Year,"Deaths that are from all causes attributed to high systolic blood pressure, in both sexes aged all ages"
China,CHN,1990,1222195.1
China,CHN,1995,1308785.9
China,CHN,2000,1500960.1
China,CHN,2005,1801324.8
China,CHN,2010,2121105.5
China,CHN,2015,2369582.8
China,CHN,2019,2599879.0
India,IND,1990,640552.6
India,IND,1995,717730.94
India,IND,2000,864311.3
India,IND,2005,949979.0
India,IND,2010,1144625.2
India,IND,2015,1318328.8
India,IND,2019,1471889.1
Lithuania,LTU,1990,12315.411
Lithuania,LTU,1995,14115.748
Lithuania,LTU,2000,11871.309
Lithuania,LTU,2005,13408.221
Lithuania,LTU,2010,12979.259
Lithuania,LTU,2015,13003.644
Lithuania,LTU,2019,12456.965
Russia,RUS,1990,508313.4
Russia,RUS,1995,681627.75
Russia,RUS,2000,706897.8
Russia,RUS,2005,739169.44
Russia,RUS,2010,640528.7
Russia,RUS,2015,573487.1
Russia,RUS,2019,557780.6
United Kingdom,GBR,1990,185925.22
United Kingdom,GBR,1995,168832.67
United Kingdom,GBR,2000,140088.94
United Kingdom,GBR,2005,105977.01
United Kingdom,GBR,2010,83637.805
United Kingdom,GBR,2015,81704.54
United Kingdom,GBR,2019,87761.79
United States,USA,1990,503627.16
United States,USA,1995,516928.1
United States,USA,2000,522146.97
United States,USA,2005,460456.88
United States,USA,2010,420422.16
United States,USA,2015,456935.97
United States,USA,2019,495201.2
