Entity,Code,Year,biomass_mean_region
Australia,AUS,1970,2.29500324306199
Australia,AUS,1980,2.6791878092794197
Australia,AUS,1990,2.2234140637209303
Australia,AUS,2000,1.35886978092071
Australia,AUS,2010,1.39615785721339
Canada East Coast,,1970,1.15107889215031
Canada East Coast,,1980,1.12842867462945
Canada East Coast,,1990,0.924875081168831
Canada East Coast,,2000,0.7287936215587429
Canada East Coast,,2010,0.8835085825935021
Canada East Coast,,2018,0.2602291666666669
Europe-EU NE Atl,,1970,1.79333333333334
Europe-EU NE Atl,,1980,1.32539461467038
Europe-EU NE Atl,,1990,1.14322191272052
Europe-EU NE Atl,,2000,0.919607843137255
Europe-EU NE Atl,,2010,1.17916666666667
Europe-EU NE Atl,,2018,1.57659090909091
Europe-Mediterranean,,1970,1.38644366197183
Europe-Mediterranean,,1980,1.26536769671934
Europe-Mediterranean,,1990,0.941901408450704
Europe-Mediterranean,,2000,0.9575
Europe-Mediterranean,,2010,1.23374558488375
New Zealand,NZL,1970,2.49330643119625
New Zealand,NZL,1980,2.11864406779661
New Zealand,NZL,1990,1.40513475200822
New Zealand,NZL,2000,1.24
New Zealand,NZL,2010,1.1380145278450402
Pacific Ocean tunas,,1970,2.08
Pacific Ocean tunas,,1980,1.58
Pacific Ocean tunas,,1990,1.695
Pacific Ocean tunas,,2000,1.39
Pacific Ocean tunas,,2010,1.25
