Entity,Code,Year,Solar (% equivalent primary energy)
Bangladesh,BGD,1980,0.0
Bangladesh,BGD,1990,0.0
Bangladesh,BGD,2000,0.0
Bangladesh,BGD,2010,0.049148396
Bangladesh,BGD,2022,0.343943
Canada,CAN,1990,0.0
Canada,CAN,2000,0.0013312428
Canada,CAN,2010,0.01890256
Canada,CAN,2022,0.399092
Pakistan,PAK,1971,0.0
Pakistan,PAK,1980,0.0
Pakistan,PAK,1990,0.0
Pakistan,PAK,2000,0.0
Pakistan,PAK,2010,0.005031391
Pakistan,PAK,2022,0.2319754
Slovenia,SVN,1990,0.0
Slovenia,SVN,2000,0.0
Slovenia,SVN,2010,0.04163679
Slovenia,SVN,2022,1.9190397
Thailand,THA,1990,0.0
Thailand,THA,2000,0.0
Thailand,THA,2010,0.013705796
Thailand,THA,2022,0.9044833
Turkey,TUR,1990,0.0
Turkey,TUR,2000,0.0
Turkey,TUR,2010,0.0005287568
Turkey,TUR,2022,2.1299906
