Entity,Code,Year,Fossil fuels (% growth)
China,CHN,1966,8.971918
China,CHN,1970,28.946745
China,CHN,1980,0.58614016
China,CHN,1990,1.0281444
China,CHN,2000,3.0907989
China,CHN,2010,6.203127
China,CHN,2022,-0.4973948
Germany,DEU,1966,0.11570454
Germany,DEU,1970,5.1285625
Germany,DEU,1980,-3.7683606
Germany,DEU,1990,-1.014775
Germany,DEU,2000,-0.032526255
Germany,DEU,2010,3.846252
Germany,DEU,2022,-3.574568
India,IND,1966,2.9236078
India,IND,1970,-3.386557
India,IND,1980,3.1086802
India,IND,1990,7.270956
India,IND,2000,5.69067
India,IND,2010,3.9242744
India,IND,2022,4.742515
Spain,ESP,1970,11.703836
Spain,ESP,1980,7.994902
Spain,ESP,1990,-1.4335394
Spain,ESP,2000,4.067898
Spain,ESP,2010,-4.046583
Spain,ESP,2022,6.0462832
United Kingdom,GBR,1966,-0.12922883
United Kingdom,GBR,1970,2.3836255
United Kingdom,GBR,1980,-9.156442
United Kingdom,GBR,1990,1.4861226
United Kingdom,GBR,2000,2.2399783
United Kingdom,GBR,2010,3.0726314
United Kingdom,GBR,2022,-0.3862679
United States,USA,1966,5.7756543
United States,USA,1970,3.6234975
United States,USA,1980,-4.077095
United States,USA,1990,-0.9080589
United States,USA,2000,2.7644515
United States,USA,2010,3.6352754
United States,USA,2022,2.063942
World,OWID_WRL,1966,5.2052736
World,OWID_WRL,1970,6.396663
World,OWID_WRL,1980,-1.3633847
World,OWID_WRL,1990,0.96747875
World,OWID_WRL,2000,2.6826262
World,OWID_WRL,2010,4.7086477
World,OWID_WRL,2022,0.4770279
