Entity,Code,Year,"GDP per capita, PPP (constant 2017 international $)",Continent
Angola,AGO,1990,5768.5645,
Angola,AGO,2021,5908.57,
Benin,BEN,1990,2109.5593,
Benin,BEN,2021,3321.5522,
Burkina Faso,BFA,1990,981.8448,
Burkina Faso,BFA,2021,2179.789,
Burundi,BDI,1990,1175.155,
Burundi,BDI,2021,705.0304,
Cameroon,CMR,1990,3483.1868,
Cameroon,CMR,2021,3700.4644,
Central African Republic,CAF,1990,1200.6134,
Central African Republic,CAF,2021,837.5047,
Chad,TCD,1990,1027.2444,
Chad,TCD,2021,1425.4945,
Congo,COG,1990,5007.3193,
Congo,COG,2021,3234.393,
Cote d'Ivoire,CIV,1990,4276.7056,
Cote d'Ivoire,CIV,2021,5325.0303,
Democratic Republic of Congo,COD,1990,1750.1697,
Democratic Republic of Congo,COD,2021,1073.6433,
Ethiopia,ETH,1990,767.1704,
Ethiopia,ETH,2021,2319.0684,
Guinea-Bissau,GNB,1990,1998.1732,
Guinea-Bissau,GNB,2021,1831.3832,
Kenya,KEN,1990,3655.362,
Kenya,KEN,2021,4743.4863,
Liberia,LBR,2021,1423.2296,
Madagascar,MDG,1990,1808.7435,
Madagascar,MDG,2021,1463.6288,
Mali,MLI,1990,1336.5719,
Mali,MLI,2021,2120.6233,
Mozambique,MOZ,1990,460.1237,
Mozambique,MOZ,2021,1226.767,
Niger,NER,1990,1077.9115,
Niger,NER,2021,1186.5768,
Nigeria,NGA,1990,3259.581,
Nigeria,NGA,2021,4922.6323,
Papua New Guinea,PNG,1990,2907.3513,
Papua New Guinea,PNG,2021,3677.4602,
Rwanda,RWA,1990,932.65753,
Rwanda,RWA,2021,2238.9573,
Senegal,SEN,1990,2469.6033,
Senegal,SEN,2021,3495.4036,
Sierra Leone,SLE,1990,1451.254,
Sierra Leone,SLE,2021,1614.6981,
South Africa,ZAF,1990,10391.964,
South Africa,ZAF,2021,13311.926,
Tanzania,TZA,1990,1338.981,
Tanzania,TZA,2021,2581.6997,
Togo,TGO,1990,1740.3103,
Togo,TGO,2021,2124.8042,
Uganda,UGA,1990,901.6608,
Uganda,UGA,2021,2246.414,
Zambia,ZMB,1990,2290.0393,
Zambia,ZMB,2021,3236.789,
