Entity,Code,Year,democracy_satisf_claassen,democracy_satisf_high_claassen,democracy_satisf_low_claassen
Argentina,ARG,1995,0.24451107,0.8332113,-0.28700012
Argentina,ARG,2000,-0.089555196,0.43178934,-0.6118769
Argentina,ARG,2005,-0.14596774,0.37439212,-0.69459301
Argentina,ARG,2010,0.19745731,0.71267611,-0.2844153
Argentina,ARG,2015,0.40320843,0.98839009,-0.10746635
Argentina,ARG,2020,-0.47609252,0.28465658,-1.3161008
Australia,AUS,2000,1.3457035,2.6280823,0.26208019
Australia,AUS,2005,1.4988053,2.6617403,0.59940767
Australia,AUS,2010,1.292931,2.4759824,0.33997488
Australia,AUS,2015,0.85476661,1.7974373,0.084578767
Australia,AUS,2020,0.69078958,1.7791169,-0.27463207
Botswana,BWA,2005,0.97227335,2.0837297,0.034269389
Botswana,BWA,2010,1.5112764,2.8117888,0.45069119
Botswana,BWA,2015,1.0441873,2.2270281,0.045409441
Botswana,BWA,2020,0.79336721,2.1998119,-0.50680947
China,CHN,2005,-0.082130477,0.7154094,-0.88564146
China,CHN,2010,0.11590214,1.1251656,-0.89012045
China,CHN,2015,0.14775814,1.5733798,-1.3003681
China,CHN,2020,0.14636678,2.0697196,-1.7679733
