Entity,Code,Year,"Incidence of malaria (per 1,000 population at risk)"
Belize,BLZ,2000,8.708239
Belize,BLZ,2005,7.910326
Belize,BLZ,2010,0.6741573
Belize,BLZ,2015,0.036139064
Belize,BLZ,2020,0.0
Cambodia,KHM,2000,77.839
Cambodia,KHM,2005,41.409927
Cambodia,KHM,2010,34.90538
Cambodia,KHM,2015,19.936678
Cambodia,KHM,2020,5.8473434
Honduras,HND,2000,8.647582
Honduras,HND,2005,3.4734757
Honduras,HND,2010,1.7664015
Honduras,HND,2015,0.5805341
Honduras,HND,2020,0.12238629
India,IND,2000,19.913614
India,IND,2005,22.630566
India,IND,2010,17.531942
India,IND,2015,9.682006
India,IND,2020,3.217007
Mozambique,MOZ,2000,486.4447
Mozambique,MOZ,2005,415.13214
Mozambique,MOZ,2010,371.80493
Mozambique,MOZ,2015,347.77197
Mozambique,MOZ,2020,320.19397
Turkmenistan,TKM,2000,0.08175835
Turkmenistan,TKM,2005,0.0032357015
Turkmenistan,TKM,2010,0.0
Turkmenistan,TKM,2015,0.0
