Entity,Code,Year,"Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age group: ALLAges"
Cambodia,KHM,2000,1.26
Cambodia,KHM,2005,1.16
Cambodia,KHM,2010,1.16
Cambodia,KHM,2015,1.15
Cambodia,KHM,2019,1.19
Canada,CAN,2000,8.35
Canada,CAN,2005,9.41
Canada,CAN,2010,10.69
Canada,CAN,2015,12.22
Canada,CAN,2019,14.4
Colombia,COL,2000,0.62
Colombia,COL,2005,0.56
Colombia,COL,2010,0.77
Colombia,COL,2015,0.92
Colombia,COL,2019,1.07
Iraq,IRQ,2000,1.06
Iraq,IRQ,2005,1.0
Iraq,IRQ,2010,1.18
Iraq,IRQ,2015,1.22
Iraq,IRQ,2019,1.22
Russia,RUS,2000,43.63
Russia,RUS,2005,45.09
Russia,RUS,2010,30.71
Russia,RUS,2015,26.1
Russia,RUS,2019,25.41
Thailand,THA,2000,2.11
Thailand,THA,2005,1.44
Thailand,THA,2010,1.63
Thailand,THA,2015,1.8
Thailand,THA,2019,1.93
