Entity,Code,Year,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)"
Chad,TCD,2000,24.6
Chad,TCD,2005,24.4
Chad,TCD,2010,24.7
Chad,TCD,2015,23.6
Chad,TCD,2019,22.7
El Salvador,SLV,2000,10.5
El Salvador,SLV,2005,10.4
El Salvador,SLV,2010,10.5
El Salvador,SLV,2015,10.8
El Salvador,SLV,2019,10.7
Lesotho,LSO,2000,32.2
Lesotho,LSO,2005,36.5
Lesotho,LSO,2010,43.2
Lesotho,LSO,2015,47.9
Lesotho,LSO,2019,42.7
Moldova,MDA,2000,33.0
Moldova,MDA,2005,32.3
Moldova,MDA,2010,29.9
Moldova,MDA,2015,26.6
Moldova,MDA,2019,24.1
Slovakia,SVK,2000,25.4
Slovakia,SVK,2005,23.0
Slovakia,SVK,2010,20.5
Slovakia,SVK,2015,17.5
Slovakia,SVK,2019,15.5
Tanzania,TZA,2000,23.1
Tanzania,TZA,2005,19.2
Tanzania,TZA,2010,19.2
Tanzania,TZA,2015,17.7
Tanzania,TZA,2019,17.4
