Entity,Code,Year,"Age-standardized deaths that are from maternal conditions per 100,000 people, in females aged all ages"
Brazil,BRA,1980,4.448361
Brazil,BRA,1990,2.0810661
Brazil,BRA,2000,1.7451421
Brazil,BRA,2010,1.6426252
Brazil,BRA,2020,1.9455286
Canada,CAN,1950,6.268268
Canada,CAN,1960,2.6758714
Canada,CAN,1970,0.7761886
Canada,CAN,1980,0.21678022
Canada,CAN,1990,0.06859054
Canada,CAN,2000,0.07855836
Canada,CAN,2010,0.15362684
France,FRA,1950,3.930877
France,FRA,1960,2.149815
France,FRA,1970,1.1210989
France,FRA,1980,0.41208792
France,FRA,1990,0.2802037
France,FRA,2000,0.17754091
France,FRA,2010,0.25402454
Mexico,MEX,1960,19.686617
Mexico,MEX,1970,14.93264
Mexico,MEX,1980,8.307495
Mexico,MEX,1990,3.5683496
Mexico,MEX,2000,2.5266445
Mexico,MEX,2010,1.683094
Mexico,MEX,2020,1.7453609
Russia,RUS,1980,2.1880043
Russia,RUS,1990,1.302485
Russia,RUS,2000,0.7285825
Russia,RUS,2010,0.4106429
South Africa,ZAF,2000,3.1130602
South Africa,ZAF,2010,5.8592105
United States,USA,1950,3.9269795
United States,USA,1960,2.0406973
United States,USA,1970,0.8895612
United States,USA,1980,0.28296405
United States,USA,1990,0.26774862
United States,USA,2000,0.3045598
United States,USA,2010,0.5983948
United States,USA,2020,0.8743378
