Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles
China,CHN,1970,11.281569
China,CHN,1980,6.273189
China,CHN,1990,5.3619847
China,CHN,2000,3.6680393
China,CHN,2010,1.5755193
China,CHN,2021,0.69345915
India,IND,1960,24.279396
India,IND,1970,21.454481
India,IND,1980,16.902363
India,IND,1990,12.653009
India,IND,2000,9.163371
India,IND,2010,5.810156
India,IND,2021,3.0619214
Indonesia,IDN,1960,22.387625
Indonesia,IDN,1970,16.60487
Indonesia,IDN,1980,12.081829
Indonesia,IDN,1990,8.397593
Indonesia,IDN,2000,5.2226477
Indonesia,IDN,2010,3.3850389
Indonesia,IDN,2021,2.2173412
United States,USA,1949,3.865043
United States,USA,1960,3.0053878
United States,USA,1970,2.3243127
United States,USA,1980,1.497678
United States,USA,1990,1.1226803
United States,USA,2000,0.8448663
United States,USA,2010,0.7336587
United States,USA,2021,0.624298
