Entity,Code,Year,General government procurement expenditure (% government expenditures)
Greece,GRC,2007,30.17
Greece,GRC,2008,28.88
Greece,GRC,2010,24.79
Greece,GRC,2012,18.96
Greece,GRC,2014,21.13
Greece,GRC,2016,20.91
Netherlands,NLD,2007,44.72
Netherlands,NLD,2008,44.91
Netherlands,NLD,2010,44.4
Netherlands,NLD,2012,44.37
Netherlands,NLD,2014,44.04
Netherlands,NLD,2016,44.77
South Korea,KOR,2007,41.49
South Korea,KOR,2008,40.54
South Korea,KOR,2010,42.5
South Korea,KOR,2012,39.22
South Korea,KOR,2014,39.04
United Kingdom,GBR,2007,31.4
United Kingdom,GBR,2008,31.63
United Kingdom,GBR,2010,31.4
United Kingdom,GBR,2012,30.33
United Kingdom,GBR,2014,32.04
United Kingdom,GBR,2016,31.73
United States,USA,2007,28.65
United States,USA,2008,28.56
United States,USA,2010,27.08
United States,USA,2012,26.33
United States,USA,2014,24.95
