Entity,Code,Year,"Current number of cases of diarrheal diseases per 100 people, in both sexes aged under 5",Diarrhea treatment (% of children under 5 who received ORS packet),Continent
Algeria,DZA,2019,2.9654768,27.3,
Argentina,ARG,2019,1.5649431,,
Bangladesh,BGD,2019,1.4410414,72.4,
Belarus,BLR,2019,1.7293937,52.7,
Central African Republic,CAF,2019,4.2228594,23.4,
Chad,TCD,2019,5.221324,17.4,
Cuba,CUB,2019,2.1118584,35.2,
Dominican Republic,DOM,2019,3.5850852,53.2,
Fiji,FJI,2019,2.970098,,
Guinea-Bissau,GNB,2019,3.396821,30.0,
Guyana,GUY,2019,2.0480232,,
India,IND,2019,1.1949098,,
Liberia,LBR,2019,3.394418,,
Malawi,MWI,2019,3.9791927,,
Mauritania,MRT,2019,4.826904,,
Nepal,NPL,2019,1.8970914,59.5,
Palestine,PSE,2019,2.7599738,,
Peru,PER,2019,3.1607146,33.6,
Rwanda,RWA,2019,3.2069514,,
Samoa,WSM,2019,2.8270411,,
Sao Tome and Principe,STP,2019,3.1766093,41.6,
Senegal,SEN,2019,4.844438,26.0,
Sierra Leone,SLE,2019,3.2195108,85.3,
South Asia (WB),,2019,1.5788232,,
Tuvalu,TUV,2019,2.7091417,,
Vietnam,VNM,2019,2.219576,,
Zambia,ZMB,2019,3.3810823,66.8,
