Entity,Code,Year,public_health_expenditure_pc_gdp
Australia,AUS,1880,0.0
Australia,AUS,1900,0.0
Australia,AUS,1920,0.57
Australia,AUS,1960,1.91366959064328
Australia,AUS,1980,3.662
Australia,AUS,2000,5.197
Belgium,BEL,1880,0.06
Belgium,BEL,1900,0.12
Belgium,BEL,1920,0.21
Belgium,BEL,1960,1.68330793423997
Belgium,BEL,1980,4.3988329979667
Belgium,BEL,2000,5.968
Canada,CAN,1880,0.0
Canada,CAN,1900,0.0
Canada,CAN,1920,0.01
Canada,CAN,1960,2.09934879032258
Canada,CAN,1980,5.015
Canada,CAN,2000,5.771
Canada,CAN,2021,8.695
France,FRA,1880,0.25
France,FRA,1900,0.27
France,FRA,1920,0.23
France,FRA,1960,2.1931724137931
France,FRA,1980,5.378
France,FRA,2000,7.56
Germany,DEU,1880,0.0
Germany,DEU,1900,0.0
Germany,DEU,1960,3.16224938875306
Germany,DEU,1980,6.303
Germany,DEU,2000,7.722
Germany,DEU,2021,11.016
Japan,JPN,1880,0.03
Japan,JPN,1900,0.1
Japan,JPN,1920,0.1
Japan,JPN,1960,1.73316037735849
Japan,JPN,1980,4.454
Japan,JPN,2000,5.658
New Zealand,NZL,1880,0.17
New Zealand,NZL,1900,0.51
New Zealand,NZL,1920,1.07
New Zealand,NZL,1960,3.38776722090261
New Zealand,NZL,1980,5.05
New Zealand,NZL,2000,5.828
Spain,ESP,1960,0.732846473029046
Spain,ESP,1980,3.961
Spain,ESP,2000,4.852
Sweden,SWE,1880,0.12
Sweden,SWE,1900,0.19
Sweden,SWE,1920,0.25
Sweden,SWE,1960,2.50564019448947
Sweden,SWE,1980,7.107
Sweden,SWE,2000,6.267
Sweden,SWE,2021,9.787
United Kingdom,GBR,1880,0.13
United Kingdom,GBR,1900,0.29
United Kingdom,GBR,1920,0.56
United Kingdom,GBR,1960,2.92035038363171
United Kingdom,GBR,1980,4.532
United Kingdom,GBR,2000,5.476
United Kingdom,GBR,2021,9.898
