Entity,Code,Year,Mobile cellular subscriptions
China,CHN,1980,0
China,CHN,1985,0
China,CHN,1990,18319
China,CHN,1995,3629000
China,CHN,2000,85260000
China,CHN,2005,393406000
China,CHN,2010,859003000
China,CHN,2015,1291984300
China,CHN,2021,1732661400
India,IND,1980,0
India,IND,1985,0
India,IND,1990,0
India,IND,1995,76680
India,IND,2000,3577095
India,IND,2005,90140000
India,IND,2010,752190000
India,IND,2015,1001056000
India,IND,2021,1154046600
Japan,JPN,1980,0
Japan,JPN,1985,61800
Japan,JPN,1990,868078
Japan,JPN,1995,11712137
Japan,JPN,2000,66784376
Japan,JPN,2005,96484000
Japan,JPN,2010,123287130
Japan,JPN,2015,160559730
Japan,JPN,2021,200478820
United Kingdom,GBR,1980,0
United Kingdom,GBR,1985,50000
United Kingdom,GBR,1990,1114000
United Kingdom,GBR,1995,5735785
United Kingdom,GBR,2000,43452000
United Kingdom,GBR,2005,65471664
United Kingdom,GBR,2010,76729820
United Kingdom,GBR,2015,79250790
United Kingdom,GBR,2021,79773000
United States,USA,1980,0
United States,USA,1985,340213
United States,USA,1990,5283055
United States,USA,1995,33785660
United States,USA,2000,109478030
United States,USA,2005,203700000
United States,USA,2010,285118000
United States,USA,2015,332101000
United States,USA,2021,361617000
