Entity,Code,Year,Observation value - Unit_of_measure: Number of deaths - Indicator: Under-five deaths - Sex: Both sexes - Wealth_quintile: All wealth quintiles,Population (historical estimates),Continent
Africa,,1960,,284288223.0,
Africa,,2021,,1393676724.0,
Asia,,1960,,1698939691.0,
Asia,,2021,,4693332132.0,
Barbados,BRB,1960,602.0,232560.0,
Barbados,BRB,2021,36.0,281204.0,
Brazil,BRA,1960,521067.0,73092520.0,
Brazil,BRA,2021,40107.0,214326224.0,
British Virgin Islands,VGB,1960,22.0,7871.0,
British Virgin Islands,VGB,2021,2.0,31145.0,
Canada,CAN,1960,15240.0,17909358.0,
Canada,CAN,2021,1873.0,38155012.0,
Europe,,1960,,606215982.0,
Europe,,2021,30837.0,746417727.0,
Hungary,HUN,1960,8105.0,9982618.0,
Hungary,HUN,2021,369.0,9709784.0,
Iceland,ISL,1960,103.0,175583.0,
Iceland,ISL,2021,12.0,370338.0,
India,IND,1960,4412830.0,445954560.0,
India,IND,2021,709366.0,1407563904.0,
Indonesia,IDN,1960,827740.0,88382888.0,
Indonesia,IDN,2021,100012.0,273753184.0,
Italy,ITA,1960,46441.0,49517708.0,
Italy,ITA,2021,1081.0,59240336.0,
Japan,JPN,1960,65801.0,94464840.0,
Japan,JPN,2021,1930.0,124612528.0,
Luxembourg,LUX,1960,189.0,314170.0,
Luxembourg,LUX,2021,18.0,639330.0,
Malta,MLT,1960,380.0,337632.0,
Malta,MLT,2021,27.0,526751.0,
Mexico,MEX,1960,252059.0,36268048.0,
Mexico,MEX,2021,25592.0,126705136.0,
Nepal,NPL,1960,142104.0,10167941.0,
Nepal,NPL,2021,16392.0,30034988.0,
Netherlands,NLD,1960,4976.0,11493124.0,
Netherlands,NLD,2021,713.0,17501696.0,
Niue,NIU,1960,22.0,4897.0,
Niue,NIU,2021,1.0,1957.0,
North America,,1960,,264916376.0,
North America,,2021,25035.0,597123384.0,
Norway,NOR,1960,1400.0,3581521.0,
Norway,NOR,2021,117.0,5403021.0,
Oceania,,1960,,15859743.0,
Oceania,,2021,13684.0,44492065.0,
Pakistan,PAK,1960,500119.0,45954228.0,
Pakistan,PAK,2021,399429.0,231402112.0,
Philippines,PHL,1960,127267.0,28486868.0,
Philippines,PHL,2021,63392.0,113880336.0,
Saint Lucia,LCA,1960,719.0,91629.0,
Saint Lucia,LCA,2021,52.0,179663.0,
Solomon Islands,SLB,1960,961.0,133453.0,
Solomon Islands,SLB,2021,393.0,707855.0,
South America,,1960,,149224306.0,
South America,,2021,,434254167.0,
Sweden,SWE,1960,2010.0,7492907.0,
Sweden,SWE,2021,279.0,10467095.0,
Thailand,THA,1960,163187.0,26596590.0,
Thailand,THA,2021,5429.0,71601104.0,
Turkey,TUR,1960,300113.0,27510982.0,
Turkey,TUR,2021,11390.0,84775408.0,
Tuvalu,TUV,1960,34.0,5426.0,
Tuvalu,TUV,2021,6.0,11229.0,
United Kingdom,GBR,1960,23721.0,52543024.0,
United Kingdom,GBR,2021,2864.0,67281040.0,
United States,USA,1960,119302.0,176188576.0,
United States,USA,2021,23162.0,336997632.0,
Uruguay,URY,1960,3435.0,2529028.0,
Uruguay,URY,2021,211.0,3426265.0,
