Entity,Code,Year,Population in urban agglomerations of more than 1 million (% of total population)
Azerbaijan,AZE,1960,25.81325
Azerbaijan,AZE,1970,24.63816
Azerbaijan,AZE,1980,25.554533
Azerbaijan,AZE,1990,24.158936
Azerbaijan,AZE,2000,22.438398
Azerbaijan,AZE,2010,22.771894
Azerbaijan,AZE,2021,23.385624
France,FRA,1960,21.561039
France,FRA,1970,22.06239
France,FRA,1980,22.298271
France,FRA,1990,22.56464
France,FRA,2000,22.422464
France,FRA,2010,22.49028
France,FRA,2021,22.86946
Georgia,GEO,1960,19.688557
Georgia,GEO,1970,21.778296
Georgia,GEO,1980,24.401794
Georgia,GEO,1990,25.4859
Georgia,GEO,2000,26.974802
Georgia,GEO,2010,28.506256
Georgia,GEO,2021,29.090305
Jordan,JOR,1960,25.722815
Jordan,JOR,1970,24.903652
Jordan,JOR,1980,28.675228
Jordan,JOR,1990,24.464006
Jordan,JOR,2000,20.118532
Jordan,JOR,2010,20.152647
Jordan,JOR,2021,19.573883
Nepal,NPL,1960,1.1720859
Nepal,NPL,1970,1.1778549
Nepal,NPL,1980,1.4431834
Nepal,NPL,1990,2.0287635
Nepal,NPL,2000,2.6140027
Nepal,NPL,2010,3.5520852
Nepal,NPL,2021,4.900508
