Entity,Code,Year,Oil consumption - TWh
Africa (EI),,1965,342.1337
Africa (EI),,1970,435.02707
Africa (EI),,1980,818.15454
Africa (EI),,1990,1135.7397
Africa (EI),,2000,1407.994
Africa (EI),,2010,1950.0487
Africa (EI),,2022,2329.6067
Asia Pacific (EI),,1965,1932.4469
Asia Pacific (EI),,1970,3952.3787
Asia Pacific (EI),,1980,6095.819
Asia Pacific (EI),,1990,7804.313
Asia Pacific (EI),,2000,11924.38
Asia Pacific (EI),,2010,15408.539
Asia Pacific (EI),,2022,19337.424
CIS (EI),,1965,1994.8495
CIS (EI),,1970,2904.4417
CIS (EI),,1980,5001.7017
CIS (EI),,1990,4003.7087
CIS (EI),,2000,1874.0015
CIS (EI),,2010,2010.8761
CIS (EI),,2022,2526.7102
Europe (EI),,1965,4980.371
Europe (EI),,1970,8055.9346
Europe (EI),,1980,9348.721
Europe (EI),,1990,9584.871
Europe (EI),,2000,9282.01
Europe (EI),,2010,8766.436
Europe (EI),,2022,7977.5957
Middle East (EI),,1965,491.44632
Middle East (EI),,1970,597.932
Middle East (EI),,1980,1105.2087
Middle East (EI),,1990,1952.2261
Middle East (EI),,2000,2813.7083
Middle East (EI),,2010,4180.1187
Middle East (EI),,2022,4990.797
North America,,1965,7466.549
North America,,1970,9575.993
North America,,1980,11543.458
North America,,1990,11544.54
North America,,2000,13328.768
North America,,2010,12732.928
North America,,2022,12689.955
North America (EI),,1965,7235.743
North America (EI),,1970,9278.467
North America (EI),,1980,11158.744
North America (EI),,1990,11186.106
North America (EI),,2000,12880.951
North America (EI),,2010,12329.032
North America (EI),,2022,12370.819
South and Central America (EI),,1965,1019.5386
South and Central America (EI),,1970,1296.1957
South and Central America (EI),,1980,1996.7848
South and Central America (EI),,1990,2009.6031
South and Central America (EI),,2000,2794.9968
South and Central America (EI),,2010,3326.359
South and Central America (EI),,2022,3436.6343
