Entity,Code,Year,Milk | 00001780 || Production | 005510 || tonnes
Albania,ALB,1961,169700.0
Albania,ALB,1970,222014.0
Albania,ALB,1980,367530.0
Albania,ALB,1990,517520.0
Albania,ALB,2000,948007.0
Albania,ALB,2010,1070013.5
Albania,ALB,2021,1013033.0
Cuba,CUB,1961,350000.0
Cuba,CUB,1970,690000.0
Cuba,CUB,1980,1000000.0
Cuba,CUB,1990,1034525.0
Cuba,CUB,2000,615198.0
Cuba,CUB,2010,632538.0
Cuba,CUB,2021,384299.0
Democratic Republic of Congo,COD,1961,5600.0
Democratic Republic of Congo,COD,1970,4900.0
Democratic Republic of Congo,COD,1980,6200.0
Democratic Republic of Congo,COD,1990,7800.0
Democratic Republic of Congo,COD,2000,6369.34
Democratic Republic of Congo,COD,2010,7500.0
Democratic Republic of Congo,COD,2021,8913.48
Mali,MLI,1961,258495.0
Mali,MLI,1970,364095.0
Mali,MLI,1980,402825.0
Mali,MLI,1990,419124.0
Mali,MLI,2000,573262.9
Mali,MLI,2010,1041207.0
Mali,MLI,2021,1037509.0
Syria,SYR,1961,342000.0
Syria,SYR,1970,450055.0
Syria,SYR,1980,907732.0
Syria,SYR,1990,1331373.0
Syria,SYR,2000,1673204.0
Syria,SYR,2010,2242308.0
Syria,SYR,2021,2050599.0
