Entity,Code,Year,Gini coefficient (Post-tax national) (Estimated),Gini coefficient,Population (historical estimates),Continent
Albania,ALB,2021,,,2854710.0,
Australia,AUS,2021,,,25921094.0,
Brazil,BRA,2021,,0.52916694,214326224.0,
Chile,CHL,2021,,,19493184.0,
Costa Rica,CRI,2021,,0.4867917,5153959.0,
Croatia,HRV,2021,,,4060139.0,
Czechia,CZE,2021,,,10510748.0,
Ecuador,ECU,2021,,0.4580044,17797736.0,
El Salvador,SLV,2021,,0.39012462,6314165.0,
Europe,,2021,,,746417727.0,
France,FRA,2021,,,64531448.0,
Germany,DEU,2021,,,83408560.0,
Iceland,ISL,2021,,,370338.0,
Kosovo,OWID_KOS,2021,,,1662022.0,
Lithuania,LTU,2021,,,2786652.0,
Luxembourg,LUX,2021,,,639330.0,
Malta,MLT,2021,,,526751.0,
Mexico,MEX,2021,,,126705136.0,
Moldova,MDA,2021,,0.25731638,3061509.0,
Netherlands,NLD,2021,,,17501696.0,
North America,,2021,,,597123384.0,
Norway,NOR,2021,,,5403021.0,
Oceania,,2021,,,44492065.0,
Peru,PER,2021,,0.40249866,33715464.0,
Romania,ROU,2021,,,19328558.0,
Serbia,SRB,2021,,,7296771.0,
Slovakia,SVK,2021,,,5447621.0,
South America,,2021,,,434254167.0,
Spain,ESP,2021,,,47486932.0,
Sweden,SWE,2021,,,10467095.0,
United Kingdom,GBR,2021,,,67281040.0,
United States,USA,2021,0.46167776,0.39751095,336997632.0,
