Entity,Code,Year,"Number of new cases of diarrheal diseases per 100,000 people, in both sexes aged all ages",Share of the population using safely managed sanitation services,Population,Continent
Africa,,2019,,,1327701380.0,
Andorra,AND,2019,30692.227,100.0,76361.0,
Asia,,2019,,,4627738749.0,
Bangladesh,BGD,2019,130210.39,27.716417,165516224.0,
Bhutan,BTN,2019,151476.56,49.510582,767467.0,
Brazil,BRA,2019,82600.266,47.84931,211782880.0,
Bulgaria,BGR,2019,80132.445,70.444214,7052536.0,
Burkina Faso,BFA,2019,137645.47,8.936718,20951638.0,
Cambodia,KHM,2019,66963.71,32.071712,16207746.0,
Canada,CAN,2019,56771.594,84.06452,37522584.0,
China,CHN,2019,50449.992,63.24984,1421864064.0,
Colombia,COL,2019,71836.23,18.034779,50187404.0,
Croatia,HRV,2019,75816.1,77.805336,4129749.0,
Cyprus,CYP,2019,40260.188,76.81465,1228840.0,
Czechia,CZE,2019,93425.125,88.69488,10536876.0,
Democratic Republic of Congo,COD,2019,106597.17,13.50106,89906896.0,
Djibouti,DJI,2019,108550.75,39.490433,1073999.0,
Ecuador,ECU,2019,91352.98,41.90062,17343742.0,
Egypt,EGY,2019,97788.08,66.27778,105618672.0,
Ethiopia,ETH,2019,108476.79,6.69492,114120592.0,
Europe,,2019,,,747418251.0,
Ghana,GHA,2019,115443.234,14.091147,31522294.0,
Greenland,GRL,2019,48818.832,0.0,55955.0,
Hungary,HUN,2019,107495.984,87.75111,9771799.0,
India,IND,2019,120789.43,45.766422,1383112064.0,
Iraq,IRQ,2019,96053.37,49.60936,41563524.0,
Ireland,IRL,2019,32346.28,79.40341,4896021.0,
Italy,ITA,2019,23843.404,79.01896,59727936.0,
Japan,JPN,2019,13447.612,98.979324,125791680.0,
Kiribati,KIR,2019,139608.44,24.165514,124252.0,
Kyrgyzstan,KGZ,2019,87121.35,92.343185,6323643.0,
Lithuania,LTU,2019,102836.26,93.755295,2849083.0,
Madagascar,MDG,2019,123335.34,11.045977,27533134.0,
Malawi,MWI,2019,122579.74,40.019665,18867340.0,
Malaysia,MYS,2019,67694.94,83.78173,32804024.0,
Malta,MLT,2019,30312.69,88.17643,503646.0,
Mexico,MEX,2019,47930.31,55.051933,125085312.0,
Montenegro,MNE,2019,74565.41,51.73089,630403.0,
Morocco,MAR,2019,96284.96,60.060772,36304408.0,
Nepal,NPL,2019,141586.6,45.981068,28832500.0,
Niger,NER,2019,155058.77,7.385322,23443400.0,
Nigeria,NGA,2019,113814.94,29.964678,203304496.0,
North America,,2019,,,590497015.0,
North Macedonia,MKD,2019,91734.0,12.192334,2114175.0,
Norway,NOR,2019,47283.2,77.83769,5348285.0,
Oceania,,2019,,,43278474.0,
Paraguay,PRY,2019,86182.73,53.878094,6530029.0,
Peru,PER,2019,105103.78,50.174194,32824864.0,
Philippines,PHL,2019,69226.05,59.720917,110380800.0,
Poland,POL,2019,56020.773,97.74776,38493600.0,
Russia,RUS,2019,105833.35,60.764545,145742288.0,
Saudi Arabia,SAU,2019,83045.9,79.81891,35827364.0,
Senegal,SEN,2019,148727.66,14.438813,16000783.0,
South Africa,ZAF,2019,87711.164,69.53983,58087060.0,
South America,,2019,,,428318218.0,
Tanzania,TZA,2019,99838.36,23.89128,59872584.0,
Thailand,THA,2019,73483.18,25.607815,71307768.0,
Tunisia,TUN,2019,96325.1,79.71671,12049319.0,
Turkey,TUR,2019,102122.01,72.70425,83481688.0,
Tuvalu,TUV,2019,128980.414,38.663918,10983.0,
United Arab Emirates,ARE,2019,74680.35,98.4592,9211660.0,
United Kingdom,GBR,2019,36239.406,98.076355,66778660.0,
United States,USA,2019,46594.42,97.11384,334319680.0,
Venezuela,VEN,2019,82926.445,26.563162,28971686.0,
Vietnam,VNM,2019,54718.81,42.306988,95776712.0,
Yemen,YEM,2019,134180.53,18.568462,31546694.0,
